                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    miss rate                        |     50.78% |     50.84% |     50.92% |     49.99% |     50.92% |     50.98% |     50.95% |     51.02% |     51.01% |     51.03% |     50.88% |     50.63% |     51.01% |     50.77% |     50.79% |     50.61%
    mpki                             |     233.96 |     234.25 |     234.62 |     230.30 |     234.62 |     234.90 |     234.73 |     235.07 |     235.02 |     235.11 |     234.43 |     233.29 |     235.03 |     233.91 |     234.02 |     233.16
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   20917483 |   20976016 |   21011234 |   20842445 |   21027232 |   21060130 |   21058795 |   21085373 |   21095870 |   21090722 |   21085995 |   21039472 |   21081600 |   21051865 |   21058629 |   21019835
    num cache misses                 |   19157004 |   19217865 |   19282690 |   18798594 |   19284053 |   19285661 |   19268617 |   19304805 |   19296706 |   19310057 |   19198093 |   19076707 |   19298812 |   19133981 |   19146412 |   19053516
    miss rate                        |     91.58% |     91.62% |     91.77% |     90.19% |     91.71% |     91.57% |     91.50% |     91.56% |     91.47% |     91.56% |     91.05% |     90.67% |     91.54% |     90.89% |     90.92% |     90.65%
    mpki                             |     248.39 |     248.31 |     248.81 |     240.42 |     248.31 |     248.07 |     247.62 |     248.00 |     247.66 |     247.92 |     245.86 |     243.77 |     247.67 |     244.86 |     245.00 |     243.47
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   19157040 |   19217903 |   19282727 |   18798622 |   19284087 |   19285692 |   19268653 |   19304833 |   19296726 |   19310085 |   19198130 |   19076771 |   19298840 |   19134031 |   19146467 |   19053567
    num cache misses                 |      11805 |      11839 |      11912 |       9333 |      11854 |      11943 |      12088 |      12116 |      12106 |      12105 |      12021 |      10402 |      12106 |      11700 |      11824 |      10034
    miss rate                        |      0.06% |      0.06% |      0.06% |      0.05% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.05% |      0.06% |      0.06% |      0.06% |      0.05%
    mpki                             |       0.15 |       0.15 |       0.15 |       0.12 |       0.15 |       0.15 |       0.16 |       0.16 |       0.16 |       0.16 |       0.15 |       0.13 |       0.16 |       0.15 |       0.15 |       0.13
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     217672 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      77.88 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      24.45 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |       3878 |       3988 |       4044 |       1560 |       3980 |       4049 |       4086 |       4120 |       4132 |       4117 |       4081 |       2435 |       4087 |       3678 |       3806 |       2128
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
