                                     | Core 0     | Core 1    
  Instructions                       |   60121687 |   60121550
  Cycles                             |   80659180 |   80659180
  IPC                                |       0.75 |       0.75
  Time (ns)                          |   30323000 |   30323000
  Idle time (ns)                     |      -1459 |        -74
  Idle time (%)                      |      -0.0% |      -0.0%
Branch predictor stats               |            |           
  num correct                        |   10022011 |   10022003
  num incorrect                      |       1515 |       1508
  misprediction rate                 |      0.02% |      0.02%
  mpki                               |       0.03 |       0.03
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |      15333 |      15322
    num misses                       |         52 |         51
    miss rate                        |      0.34% |      0.33%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |      40243 |      40229
    num misses                       |         73 |         73
    miss rate                        |      0.18% |      0.18%
    mpki                             |       0.00 |       0.00
  L2 TLB                             |            |           
    num accesses                     |        125 |        124
    num misses                       |        123 |        122
    miss rate                        |     98.40% |     98.39%
    mpki                             |       0.00 |       0.00
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      15333 |      15322
    num cache misses                 |        950 |        965
    miss rate                        |      6.20% |      6.30%
    mpki                             |       0.02 |       0.02
  Cache L1-D                         |            |           
    num cache accesses               |      40243 |      40229
    num cache misses                 |       1944 |       1953
    miss rate                        |      4.83% |      4.85%
    mpki                             |       0.03 |       0.03
  Cache L2                           |            |           
    num cache accesses               |       2933 |       2957
    num cache misses                 |       2556 |       2549
    miss rate                        |     87.15% |     86.20%
    mpki                             |       0.04 |       0.04
  Cache L3                           |            |           
    num cache accesses               |       2596 |       2589
    num cache misses                 |       2477 |       2470
    miss rate                        |     95.42% |     95.40%
    mpki                             |       0.04 |       0.04
DRAM summary                         |            |           
  num dram accesses                  |       4947 |          0
  average dram access latency (ns)   |      66.33 |        inf
  average dram queueing delay        |      12.90 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |       1121 |       1121
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
