                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    6728743 |    6726063 |    6705834 |    6720975
  Cycles                             |   11420178 |   11420178 |   11420178 |   11420178
  IPC                                |       0.59 |       0.59 |       0.59 |       0.59
  Time (ns)                          |    4293300 |    4293300 |    4293300 |    4293300
  Idle time (ns)                     |         -3 |         -4 |         47 |         -3
  Idle time (%)                      |      -0.0% |      -0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |     259678 |     259570 |     259172 |     259470
  num incorrect                      |       3961 |       3911 |       3911 |       3911
  misprediction rate                 |      1.50% |      1.48% |      1.49% |      1.48%
  mpki                               |       0.59 |       0.58 |       0.58 |       0.58
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |     680639 |     680366 |     678804 |     679976
    num misses                       |         62 |         60 |         60 |         60
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |           
    num accesses                     |    3650201 |    3648811 |    3638343 |    3646212
    num misses                       |        107 |        101 |        101 |        101
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02
  L2 TLB                             |            |            |            |           
    num accesses                     |        169 |        161 |        161 |        161
    num misses                       |        147 |        146 |        146 |        146
    miss rate                        |     86.98% |     90.68% |     90.68% |     90.68%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     680639 |     680366 |     678804 |     679976
    num cache misses                 |      35586 |      34330 |      34739 |      35926
    miss rate                        |      5.23% |      5.05% |      5.12% |      5.28%
    mpki                             |       5.29 |       5.10 |       5.18 |       5.35
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    3650201 |    3648811 |    3638343 |    3646212
    num cache misses                 |      16471 |      16594 |      16275 |      16410
    miss rate                        |      0.45% |      0.45% |      0.45% |      0.45%
    mpki                             |       2.45 |       2.47 |       2.43 |       2.44
  Cache L2                           |            |            |            |           
    num cache accesses               |      52083 |      50947 |      51039 |      52360
    num cache misses                 |      15853 |      15719 |      15549 |      15665
    miss rate                        |     30.44% |     30.85% |     30.46% |     29.92%
    mpki                             |       2.36 |       2.34 |       2.32 |       2.33
  Cache L3                           |            |            |            |           
    num cache accesses               |      15914 |      15775 |      15601 |      15714
    num cache misses                 |       4398 |       4335 |       4335 |       4335
    miss rate                        |     27.64% |     27.48% |     27.79% |     27.59%
    mpki                             |       0.65 |       0.64 |       0.65 |       0.64
DRAM summary                         |            |            |            |           
  num dram accesses                  |      17403 |          0 |          0 |          0
  average dram access latency (ns)   |      62.70 |        inf |        inf |        inf
  average dram queueing delay        |       9.27 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      3.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       1349 |       1331 |       1335 |       1337
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
