                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10   
  Instructions                       |      84844 |      90195 |      90578 |      90360 |      83485 |      85370 |      85433 |      85370 |      83515 |      83199 |      84525
  Cycles                             |    1357398 |    1357398 |    1357398 |    1357398 |    1357398 |    1357398 |    1357398 |    1357398 |    1357398 |    1357398 |    1357398
  IPC                                |       0.06 |       0.07 |       0.07 |       0.07 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
  Time (ns)                          |     510300 |     510300 |     510300 |     510300 |     510300 |     510300 |     510300 |     510300 |     510300 |     510300 |     510300
  Idle time (ns)                     |        -13 |        -13 |       -206 |       1007 |        102 |         27 |        102 |       -206 |         27 |        126 |         93
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |       0.2% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      18537 |      19608 |      19646 |      19625 |      18266 |      18643 |      18655 |      18643 |      18272 |      18208 |      18474
  num incorrect                      |       1046 |       1046 |       1085 |       1069 |       1046 |       1046 |       1046 |       1046 |       1046 |       1046 |       1046
  misprediction rate                 |      5.34% |      5.06% |      5.23% |      5.17% |      5.42% |      5.31% |      5.31% |      5.31% |      5.41% |      5.43% |      5.36%
  mpki                               |      12.33 |      11.60 |      11.98 |      11.83 |      12.53 |      12.25 |      12.24 |      12.25 |      12.52 |      12.57 |      12.38
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       4798 |       4798 |       4859 |       4833 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798
    num misses                       |         42 |         42 |         45 |         43 |         42 |         42 |         42 |         42 |         42 |         42 |         42
    miss rate                        |      0.88% |      0.88% |      0.93% |      0.89% |      0.88% |      0.88% |      0.88% |      0.88% |      0.88% |      0.88% |      0.88%
    mpki                             |       0.50 |       0.47 |       0.50 |       0.48 |       0.50 |       0.49 |       0.49 |       0.49 |       0.50 |       0.50 |       0.50
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      63131 |      69551 |      69719 |      69627 |      61501 |      63764 |      63836 |      63740 |      61536 |      61157 |      62750
    num misses                       |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21
    miss rate                        |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.25 |       0.23 |       0.23 |       0.23 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |         63 |         63 |         66 |         64 |         63 |         63 |         63 |         63 |         63 |         63 |         63
    num misses                       |         63 |         63 |         66 |         64 |         63 |         63 |         63 |         63 |         63 |         63 |         63
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.74 |       0.70 |       0.73 |       0.71 |       0.75 |       0.74 |       0.74 |       0.74 |       0.75 |       0.76 |       0.75
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       4798 |       4798 |       4859 |       4833 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798
    num cache misses                 |       1646 |       1505 |       1524 |       1526 |       1622 |       1624 |       1636 |       1652 |       1530 |       1582 |       1604
    miss rate                        |     34.31% |     31.37% |     31.36% |     31.57% |     33.81% |     33.85% |     34.10% |     34.43% |     31.89% |     32.97% |     33.43%
    mpki                             |      19.40 |      16.69 |      16.83 |      16.89 |      19.43 |      19.02 |      19.15 |      19.35 |      18.32 |      19.01 |      18.98
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      63131 |      69551 |      69719 |      69627 |      61501 |      63764 |      63836 |      63740 |      61536 |      61157 |      62750
    num cache misses                 |      27708 |      27486 |      26775 |      27311 |      27499 |      27534 |      27673 |      27689 |      27459 |      27346 |      27623
    miss rate                        |     43.89% |     39.52% |     38.40% |     39.22% |     44.71% |     43.18% |     43.35% |     43.44% |     44.62% |     44.71% |     44.02%
    mpki                             |     326.58 |     304.74 |     295.60 |     302.25 |     329.39 |     322.53 |     323.91 |     324.34 |     328.79 |     328.68 |     326.80
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      29367 |      29008 |      28320 |      28852 |      29138 |      29173 |      29328 |      29356 |      29006 |      28944 |      29245
    num cache misses                 |      28622 |      28365 |      27635 |      28122 |      28425 |      28455 |      28606 |      28568 |      28365 |      28284 |      28543
    miss rate                        |     97.46% |     97.78% |     97.58% |     97.47% |     97.55% |     97.54% |     97.54% |     97.32% |     97.79% |     97.72% |     97.60%
    mpki                             |     337.35 |     314.49 |     305.10 |     311.22 |     340.48 |     333.31 |     334.84 |     334.64 |     339.64 |     339.96 |     337.69
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      28635 |      28383 |      27657 |      28137 |      28445 |      28470 |      28625 |      28583 |      28385 |      28302 |      28562
    num cache misses                 |        721 |        723 |        768 |        745 |        725 |        720 |        724 |        722 |        720 |        723 |        723
    miss rate                        |      2.52% |      2.55% |      2.78% |      2.65% |      2.55% |      2.53% |      2.53% |      2.53% |      2.54% |      2.55% |      2.53%
    mpki                             |       8.50 |       8.02 |       8.48 |       8.24 |       8.68 |       8.43 |       8.47 |       8.46 |       8.62 |       8.69 |       8.55
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |       8131 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     112.75 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      59.32 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     13.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |        183 |        182 |        191 |        182 |        188 |        178 |        184 |        181 |        178 |        182 |        185
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
