                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12   
  Instructions                       |      90567 |      90492 |      90488 |      90507 |      90511 |      90315 |      90317 |      90317 |      90232 |      90214 |      90212 |      90208 |      90220
  Cycles                             |     684418 |     684418 |     684418 |     684418 |     684418 |     684418 |     684418 |     684418 |     684418 |     684418 |     684418 |     684418 |     684418
  IPC                                |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13
  Time (ns)                          |     257300 |     257300 |     257300 |     257300 |     257300 |     257300 |     257300 |     257300 |     257300 |     257300 |     257300 |     257300 |     257300
  Idle time (ns)                     |        -77 |         37 |         29 |        -23 |        -77 |         71 |         37 |        -23 |         71 |         29 |         48 |         21 |        -61
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      19646 |      19643 |      19643 |      19644 |      19645 |      19622 |      19622 |      19622 |      19613 |      19612 |      19611 |      19610 |      19613
  num incorrect                      |       1085 |       1082 |       1080 |       1085 |       1085 |       1059 |       1059 |       1059 |       1046 |       1046 |       1046 |       1046 |       1046
  misprediction rate                 |      5.23% |      5.22% |      5.21% |      5.23% |      5.23% |      5.12% |      5.12% |      5.12% |      5.06% |      5.06% |      5.06% |      5.06% |      5.06%
  mpki                               |      11.98 |      11.96 |      11.94 |      11.99 |      11.99 |      11.73 |      11.73 |      11.73 |      11.59 |      11.59 |      11.59 |      11.60 |      11.59
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       4859 |       4854 |       4852 |       4855 |       4855 |       4823 |       4825 |       4825 |       4801 |       4798 |       4798 |       4798 |       4798
    num misses                       |         45 |         44 |         44 |         44 |         44 |         43 |         43 |         43 |         42 |         42 |         42 |         42 |         42
    miss rate                        |      0.93% |      0.91% |      0.91% |      0.91% |      0.91% |      0.89% |      0.89% |      0.89% |      0.87% |      0.88% |      0.88% |      0.88% |      0.88%
    mpki                             |       0.50 |       0.49 |       0.49 |       0.49 |       0.49 |       0.48 |       0.48 |       0.48 |       0.47 |       0.47 |       0.47 |       0.47 |       0.47
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      69712 |      69729 |      69727 |      69737 |      69688 |      69642 |      69637 |      69644 |      69589 |      69576 |      69573 |      69570 |      69584
    num misses                       |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21
    miss rate                        |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |         66 |         65 |         65 |         65 |         65 |         64 |         64 |         64 |         63 |         63 |         63 |         63 |         63
    num misses                       |         66 |         65 |         65 |         65 |         65 |         64 |         64 |         64 |         63 |         63 |         63 |         63 |         63
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.73 |       0.72 |       0.72 |       0.72 |       0.72 |       0.71 |       0.71 |       0.71 |       0.70 |       0.70 |       0.70 |       0.70 |       0.70
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       4859 |       4854 |       4852 |       4855 |       4855 |       4823 |       4825 |       4825 |       4801 |       4798 |       4798 |       4798 |       4798
