                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12   
  Instructions                       |   77467316 |   77683109 |   77551880 |   77782834 |   78003310 |   77763325 |   77873868 |   78256724 |   77744804 |   78205872 |   77976353 |   78127496 |   78017706
  Cycles                             |  825597500 |  825597500 |  825597500 |  825597500 |  825597500 |  825597500 |  825597500 |  825597500 |  825597500 |  825597500 |  825597500 |  825597500 |  825597500
  IPC                                |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09
  Time (ns)                          |  310375000 |  310375000 |  310375000 |  310375000 |  310375000 |  310375000 |  310375000 |  310375000 |  310375000 |  310375000 |  310375000 |  310375000 |  310375000
  Idle time (ns)                     |        142 |         85 |        102 |        135 |        217 |        240 |        135 |        -90 |        -90 |        217 |        270 |        341 |        291
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    2150277 |    2156186 |    2152592 |    2158915 |    2164948 |    2158381 |    2161406 |    2171907 |    2157874 |    2170493 |    2164211 |    2168347 |    2165342
  num incorrect                      |        981 |        981 |        981 |        981 |        981 |        981 |        981 |       1022 |        981 |        981 |        981 |        981 |        981
  misprediction rate                 |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    8439241 |    8462686 |    8448428 |    8473519 |    8497468 |    8471399 |    8483408 |    8525013 |    8469388 |    8519474 |    8494540 |    8510959 |    8499032
    num misses                       |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         43 |         40 |         40 |         40 |         40 |         40
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   35692706 |   35791928 |   35731584 |   35837779 |   35939150 |   35828808 |   35879638 |   36055621 |   35820280 |   36032288 |   35926756 |   35996251 |   35945770
    num misses                       |         69 |         69 |         69 |         69 |         69 |         69 |         69 |         71 |         69 |         69 |         69 |         69 |         69
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        114 |        109 |        109 |        109 |        109 |        109
    num misses                       |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        112 |        109 |        109 |        109 |        109 |        109
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |     98.25% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    8439241 |    8462686 |    8448428 |    8473519 |    8497468 |    8471399 |    8483408 |    8525013 |    8469388 |    8519474 |    8494540 |    8510959 |    8499032
    num cache misses                 |    2916089 |    2862821 |    2833062 |    2822011 |    2813569 |    2795319 |    2789530 |    2795299 |    2771438 |    2781939 |    2769835 |    2771324 |    2764448
    miss rate                        |     34.55% |     33.83% |     33.53% |     33.30% |     33.11% |     33.00% |     32.88% |     32.79% |     32.72% |     32.65% |     32.61% |     32.56% |     32.53%
    mpki                             |      37.64 |      36.85 |      36.53 |      36.28 |      36.07 |      35.95 |      35.82 |      35.72 |      35.65 |      35.57 |      35.52 |      35.47 |      35.43
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   35692706 |   35791928 |   35731584 |   35837779 |   35939150 |   35828808 |   35879638 |   36055621 |   35820280 |   36032288 |   35926756 |   35996251 |   35945770
    num cache misses                 |   15679861 |   15678764 |   15742819 |   15806161 |   15655740 |   15794144 |   15833128 |   15798494 |   15810673 |   15852789 |   15849567 |   15864925 |   15846303
    miss rate                        |     43.93% |     43.81% |     44.06% |     44.10% |     43.56% |     44.08% |     44.13% |     43.82% |     44.14% |     44.00% |     44.12% |     44.07% |     44.08%
    mpki                             |     202.41 |     201.83 |     203.00 |     203.21 |     200.71 |     203.11 |     203.32 |     201.88 |     203.37 |     202.71 |     203.26 |     203.06 |     203.11
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   18596014 |   18541597 |   18575941 |   18628235 |   18469322 |   18589517 |   18622698 |   18593807 |   18582174 |   18634743 |   18619430 |   18636304 |   18610813
    num cache misses                 |   16575914 |   16521770 |   16663211 |   16650502 |   16375043 |   16639112 |   16667635 |   16446234 |   16695288 |   16572593 |   16661143 |   16621040 |   16648604
    miss rate                        |     89.14% |     89.11% |     89.70% |     89.38% |     88.66% |     89.51% |     89.50% |     88.45% |     89.85% |     88.93% |     89.48% |     89.19% |     89.46%
    mpki                             |     213.97 |     212.68 |     214.87 |     214.06 |     209.93 |     213.97 |     214.03 |     210.16 |     214.74 |     211.91 |     213.67 |     212.74 |     213.40
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   16575981 |   16521783 |   16663276 |   16650572 |   16375056 |   16639172 |   16667681 |   16446250 |   16695356 |   16572612 |   16661174 |   16621100 |   16648669
    num cache misses                 |       6442 |       6082 |       6746 |       6892 |       6183 |       6837 |       6625 |       6307 |       7048 |       6359 |       6657 |       6771 |       6809
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.08 |       0.08 |       0.09 |       0.09 |       0.08 |       0.09 |       0.09 |       0.08 |       0.09 |       0.08 |       0.09 |       0.09 |       0.09
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      88288 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      62.89 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
