                                     | Core 0     | Core 1    
  Instructions                       |     121627 |     121118
  Cycles                             |     661542 |     661542
  IPC                                |       0.18 |       0.18
  Time (ns)                          |     248700 |     248700
  Idle time (ns)                     |        -18 |        -18
  Idle time (%)                      |      -0.0% |      -0.0%
Branch predictor stats               |            |           
  num correct                        |      22012 |      21955
  num incorrect                      |       1514 |       1469
  misprediction rate                 |      6.44% |      6.27%
  mpki                               |      12.45 |      12.13
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |      15330 |      15237
    num misses                       |         52 |         49
    miss rate                        |      0.34% |      0.32%
    mpki                             |       0.43 |       0.40
  D-TLB                              |            |           
    num accesses                     |      40200 |      40005
    num misses                       |         77 |         76
    miss rate                        |      0.19% |      0.19%
    mpki                             |       0.63 |       0.63
  L2 TLB                             |            |           
    num accesses                     |        129 |        125
    num misses                       |        123 |        119
    miss rate                        |     95.35% |     95.20%
    mpki                             |       1.01 |       0.98
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      15330 |      15237
    num cache misses                 |        963 |        936
    miss rate                        |      6.28% |      6.14%
    mpki                             |       7.92 |       7.73
  Cache L1-D                         |            |           
    num cache accesses               |      40200 |      40005
    num cache misses                 |       1943 |       1949
    miss rate                        |      4.83% |      4.87%
    mpki                             |      15.98 |      16.09
  Cache L2                           |            |           
    num cache accesses               |       2944 |       2922
    num cache misses                 |       2562 |       2506
    miss rate                        |     87.02% |     85.76%
    mpki                             |      21.06 |      20.69
  Cache L3                           |            |           
    num cache accesses               |       2602 |       2545
    num cache misses                 |       2475 |       2427
    miss rate                        |     95.12% |     95.36%
    mpki                             |      20.35 |      20.04
DRAM summary                         |            |           
  num dram accesses                  |       4902 |          0
  average dram access latency (ns)   |      65.23 |        inf
  average dram queueing delay        |      11.80 |       0.00
  average dram bandwidth utilization |     16.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |       1120 |       1115
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
