                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10   
  Instructions                       |   28759897 |   28250650 |   28191029 |   28151897 |   28071692 |   28032718 |   28048891 |   28061513 |   28095920 |   28128013 |   28060035
  Cycles                             |  169785140 |  169785140 |  169785140 |  169785140 |  169785140 |  169785140 |  169785140 |  169785140 |  169785140 |  169785140 |  169785140
  IPC                                |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17
  Time (ns)                          |   63829000 |   63829000 |   63829000 |   63829000 |   63829000 |   63829000 |   63829000 |   63829000 |   63829000 |   63829000 |   63829000
  Idle time (ns)                     |        572 |        113 |        113 |        232 |        272 |        180 |        159 |        -10 |        136 |        159 |        206
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1059719 |    1049739 |    1048577 |    1047814 |    1046250 |    1045492 |    1045807 |    1046053 |    1046723 |    1047349 |    1046024
  num incorrect                      |       8006 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.76% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2876325 |    2836939 |    2832335 |    2829313 |    2823119 |    2820111 |    2821360 |    2822334 |    2824991 |    2827469 |    2822220
    num misses                       |         63 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61
