                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9    
  Instructions                       |      90555 |      84490 |      86825 |      85443 |      84074 |      87398 |      87714 |      83725 |      84970 |      83440
  Cycles                             |     788158 |     788158 |     788158 |     788158 |     788158 |     788158 |     788158 |     788158 |     788158 |     788158
  IPC                                |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11
  Time (ns)                          |     296300 |     296300 |     296300 |     296300 |     296300 |     296300 |     296300 |     296300 |     296300 |     296300
  Idle time (ns)                     |        -12 |        131 |         77 |        -12 |        151 |         43 |         36 |        105 |        166 |        105
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.1% |       0.0% |       0.0% |       0.0% |       0.1% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |           
  num correct                        |      19646 |      18467 |      18934 |      18657 |      18383 |      19049 |      19111 |      18314 |      18563 |      18256
  num incorrect                      |       1085 |       1046 |       1046 |       1046 |       1046 |       1046 |       1046 |       1046 |       1046 |       1046
  misprediction rate                 |      5.23% |      5.36% |      5.24% |      5.31% |      5.38% |      5.21% |      5.19% |      5.40% |      5.33% |      5.42%
  mpki                               |      11.98 |      12.38 |      12.05 |      12.24 |      12.44 |      11.97 |      11.93 |      12.49 |      12.31 |      12.54
TLB Summary                          |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       4859 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798
    num misses                       |         45 |         42 |         42 |         42 |         42 |         42 |         42 |         42 |         42 |         42
    miss rate                        |      0.93% |      0.88% |      0.88% |      0.88% |      0.88% |      0.88% |      0.88% |      0.88% |      0.88% |      0.88%
    mpki                             |       0.50 |       0.50 |       0.48 |       0.49 |       0.50 |       0.48 |       0.48 |       0.50 |       0.49 |       0.50
  D-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      69706 |      62704 |      65510 |      63833 |      62206 |      66198 |      66571 |      61783 |      63284 |      61445
    num misses                       |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21
    miss rate                        |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.23 |       0.25 |       0.24 |       0.25 |       0.25 |       0.24 |       0.24 |       0.25 |       0.25 |       0.25
  L2 TLB                             |            |            |            |            |            |            |            |            |            |           
    num accesses                     |         66 |         63 |         63 |         63 |         63 |         63 |         63 |         63 |         63 |         63
    num misses                       |         66 |         63 |         63 |         63 |         63 |         63 |         63 |         63 |         63 |         63
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.73 |       0.75 |       0.73 |       0.74 |       0.75 |       0.72 |       0.72 |       0.75 |       0.74 |       0.76
Cache Summary                        |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       4859 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798
    num cache misses                 |       1536 |       1564 |       1623 |       1628 |       1590 |       1615 |       1576 |       1497 |       1624 |       1447
    miss rate                        |     31.61% |     32.60% |     33.83% |     33.93% |     33.14% |     33.66% |     32.85% |     31.20% |     33.85% |     30.16%
    mpki                             |      16.96 |      18.51 |      18.69 |      19.05 |      18.91 |      18.48 |      17.97 |      17.88 |      19.11 |      17.34
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      69706 |      62704 |      65510 |      63833 |      62206 |      66198 |      66571 |      61783 |      63284 |      61445
    num cache misses                 |      14983 |      15323 |      15410 |      15427 |      15395 |      15377 |      15319 |      15350 |      15418 |      15236
    miss rate                        |     21.49% |     24.44% |     23.52% |     24.17% |     24.75% |     23.23% |     23.01% |     24.85% |     24.36% |     24.80%
    mpki                             |     165.46 |     181.36 |     177.48 |     180.55 |     183.11 |     175.94 |     174.65 |     183.34 |     181.45 |     182.60
  Cache L2                           |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      16541 |      16903 |      17049 |      17072 |      17000 |      17009 |      16911 |      16862 |      17058 |      16698
    num cache misses                 |      15691 |      16100 |      16156 |      16263 |      16255 |      16099 |      15989 |      16235 |      16263 |      16098
    miss rate                        |     94.86% |     95.25% |     94.76% |     95.26% |     95.62% |     94.65% |     94.55% |     96.28% |     95.34% |     96.41%
    mpki                             |     173.28 |     190.56 |     186.08 |     190.34 |     193.34 |     184.20 |     182.29 |     193.91 |     191.40 |     192.93
  Cache L3                           |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15713 |      16117 |      16172 |      16281 |      16270 |      16117 |      16006 |      16250 |      16279 |      16113
    num cache misses                 |        771 |        722 |        722 |        721 |        720 |        721 |        718 |        719 |        721 |        721
    miss rate                        |      4.91% |      4.48% |      4.46% |      4.43% |      4.43% |      4.47% |      4.49% |      4.42% |      4.43% |      4.47%
    mpki                             |       8.51 |       8.55 |       8.32 |       8.44 |       8.56 |       8.25 |       8.19 |       8.59 |       8.49 |       8.64
DRAM summary                         |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |       7340 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     116.16 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      62.73 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     20.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |        195 |        184 |        180 |        182 |        183 |        181 |        179 |        181 |        186 |        182
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
