                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8    
  Instructions                       |      39738 |      34546 |      35056 |      37882 |      36146 |      29085 |      36249 |      38722 |      39788
  Cycles                             |     187264 |     187264 |     187264 |     187264 |     187264 |     187264 |     187264 |     187264 |     187264
  IPC                                |       0.21 |       0.18 |       0.19 |       0.20 |       0.19 |       0.16 |       0.19 |       0.21 |       0.21
  Time (ns)                          |      70400 |      70400 |      70400 |      70400 |      70400 |      70400 |      70400 |      70400 |      70400
  Idle time (ns)                     |        295 |        203 |        492 |        576 |        411 |        -33 |        468 |        584 |        549
  Idle time (%)                      |       0.4% |       0.3% |       0.7% |       0.8% |       0.6% |      -0.0% |       0.7% |       0.8% |       0.8%
Branch predictor stats               |            |            |            |            |            |            |            |            |           
  num correct                        |       8592 |       8067 |       8176 |       8502 |       8411 |       7058 |       8422 |       8535 |       8597
  num incorrect                      |       1008 |        894 |        910 |        972 |        949 |        801 |        954 |        972 |       1013
  misprediction rate                 |     10.50% |      9.98% |     10.02% |     10.26% |     10.14% |     10.19% |     10.17% |     10.22% |     10.54%
  mpki                               |      25.37 |      25.88 |      25.96 |      25.66 |      26.25 |      27.54 |      26.32 |      25.10 |      25.46
TLB Summary                          |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |       4775 |       4182 |       4263 |       4592 |       4424 |       3512 |       4437 |       4657 |       4784
    num misses                       |         42 |         38 |         38 |         39 |         38 |         34 |         38 |         39 |         43
    miss rate                        |      0.88% |      0.91% |      0.89% |      0.85% |      0.86% |      0.97% |      0.86% |      0.84% |      0.90%
    mpki                             |       1.06 |       1.10 |       1.08 |       1.03 |       1.05 |       1.17 |       1.05 |       1.01 |       1.08
  D-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |      10443 |       8485 |       8560 |       9566 |       8679 |       6761 |       8707 |       9964 |      10463
    num misses                       |         22 |         22 |         22 |         22 |         22 |         20 |         22 |         22 |         22
    miss rate                        |      0.21% |      0.26% |      0.26% |      0.23% |      0.25% |      0.30% |      0.25% |      0.22% |      0.21%
    mpki                             |       0.55 |       0.64 |       0.63 |       0.58 |       0.61 |       0.69 |       0.61 |       0.57 |       0.55
  L2 TLB                             |            |            |            |            |            |            |            |            |           
