                                     | Core 0     | Core 1     | Core 2    
  Instructions                       |   50121633 |   50121577 |     123713
  Cycles                             |   90470324 |   90470324 |   90470324
  IPC                                |       0.55 |       0.55 |       0.00
  Time (ns)                          |   34011400 |   34011400 |   34011400
  Idle time (ns)                     |        -81 |        -49 |        -81
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |           
  num correct                        |   10022009 |   10022004 |      22508
  num incorrect                      |       1517 |       1512 |       1441
  misprediction rate                 |      0.02% |      0.02% |      6.02%
  mpki                               |       0.03 |       0.03 |      11.65
TLB Summary                          |            |            |           
  I-TLB                              |            |            |           
    num accesses                     |      15334 |      15326 |      15165
    num misses                       |         52 |         51 |         48
    miss rate                        |      0.34% |      0.33% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.39
  D-TLB                              |            |            |           
    num accesses                     |   60040200 |   60040179 |      43392
    num misses                       |        128 |        128 |        126
    miss rate                        |      0.00% |      0.00% |      0.29%
    mpki                             |       0.00 |       0.00 |       1.02
  L2 TLB                             |            |            |           
    num accesses                     |        180 |        179 |        174
    num misses                       |        121 |        120 |        116
    miss rate                        |     67.22% |     67.04% |     66.67%
    mpki                             |       0.00 |       0.00 |       0.94
Cache Summary                        |            |            |           
  Cache L1-I                         |            |            |           
    num cache accesses               |      15334 |      15326 |      15165
    num cache misses                 |       1392 |       1398 |       1293
    miss rate                        |      9.08% |      9.12% |      8.53%
    mpki                             |       0.03 |       0.03 |      10.45
  Cache L1-D                         |            |            |           
    num cache accesses               |   60040200 |   60040179 |      43392
    num cache misses                 |       2211 |       2224 |       2197
    miss rate                        |      0.00% |      0.00% |      5.06%
    mpki                             |       0.04 |       0.04 |      17.76
  Cache L2                           |            |            |           
    num cache accesses               |       3643 |       3663 |       3528
    num cache misses                 |       2724 |       2723 |       2663
    miss rate                        |     74.77% |     74.34% |     75.48%
    mpki                             |       0.05 |       0.05 |      21.53
  Cache L3                           |            |            |           
    num cache accesses               |       2764 |       2764 |       2702
    num cache misses                 |       2476 |       2467 |       2410
    miss rate                        |     89.58% |     89.25% |     89.19%
    mpki                             |       0.05 |       0.05 |      19.48
DRAM summary                         |            |            |           
  num dram accesses                  |       7353 |          0 |          0
  average dram access latency (ns)   |      69.38 |        inf |        inf
  average dram queueing delay        |      15.95 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |           
  num loads from dram                |       1127 |       1129 |       1122
  num loads from dram cache          |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0
