                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12   
  Instructions                       |     120525 |     125355 |     138397 |     137849 |     118025 |     120211 |     118687 |     120643 |     117477 |     118675 |     117366 |     117952 |     117560
  Cycles                             |    1052296 |    1052296 |    1052296 |    1052296 |    1052296 |    1052296 |    1052296 |    1052296 |    1052296 |    1052296 |    1052296 |    1052296 |    1052296
  IPC                                |       0.11 |       0.12 |       0.13 |       0.13 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11
  Time (ns)                          |     395600 |     395600 |     395600 |     395600 |     395600 |     395600 |     395600 |     395600 |     395600 |     395600 |     395600 |     395600 |     395600
  Idle time (ns)                     |        -20 |        -53 |        -53 |        155 |         58 |         33 |       1044 |        608 |        346 |        268 |        644 |        139 |          7
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.3% |       0.2% |       0.1% |       0.1% |       0.2% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      21908 |      24237 |      30327 |      30264 |      21472 |      21872 |      21544 |      21915 |      21411 |      21544 |      21400 |      21462 |      21417
  num incorrect                      |       1428 |       1438 |       1519 |       1471 |       1353 |       1409 |       1361 |       1434 |       1350 |       1360 |       1344 |       1353 |       1350
  misprediction rate                 |      6.12% |      5.60% |      4.77% |      4.64% |      5.93% |      6.05% |      5.94% |      6.14% |      5.93% |      5.94% |      5.91% |      5.93% |      5.93%
  mpki                               |      11.85 |      11.47 |      10.98 |      10.67 |      11.46 |      11.72 |      11.47 |      11.89 |      11.49 |      11.46 |      11.45 |      11.47 |      11.48
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15134 |      15162 |      15458 |      15353 |      14916 |      15094 |      14987 |      15154 |      14868 |      14985 |      14851 |      14906 |      14873
    num misses                       |         47 |         48 |         52 |         49 |         42 |         45 |         45 |         47 |         42 |         45 |         41 |         42 |         42
    miss rate                        |      0.31% |      0.32% |      0.34% |      0.32% |      0.28% |      0.30% |      0.30% |      0.31% |      0.28% |      0.30% |      0.28% |      0.28% |      0.28%
    mpki                             |       0.39 |       0.38 |       0.38 |       0.36 |       0.36 |       0.37 |       0.38 |       0.39 |       0.36 |       0.38 |       0.35 |       0.36 |       0.36
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      39711 |      39846 |      40209 |      39967 |      39188 |      39697 |      39471 |      39799 |      39003 |      39459 |      38955 |      39159 |      39033
    num misses                       |         71 |         71 |         72 |         71 |         69 |         71 |         70 |         71 |         69 |         70 |         67 |         69 |         69
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.17% |      0.18% |      0.18%
    mpki                             |       0.59 |       0.57 |       0.52 |       0.52 |       0.58 |       0.59 |       0.59 |       0.59 |       0.59 |       0.59 |       0.57 |       0.58 |       0.59
