                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8    
  Instructions                       |   73994315 |   76671593 |   73811757 |   78256678 |   77707755 |   75267412 |   77887405 |   77600246 |   76238893
  Cycles                             |  126885724 |  126885724 |  126885724 |  126885724 |  126885724 |  126885724 |  126885724 |  126885724 |  126885724
  IPC                                |       0.58 |       0.60 |       0.58 |       0.62 |       0.61 |       0.59 |       0.61 |       0.61 |       0.60
  Time (ns)                          |   47701400 |   47701400 |   47701400 |   47701400 |   47701400 |   47701400 |   47701400 |   47701400 |   47701400
  Idle time (ns)                     |         -4 |        -32 |        -12 |        -78 |        -31 |         -6 |        -32 |        -28 |        -22
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |           
  num correct                        |    2055215 |    2128498 |    2050220 |    2171907 |    2156860 |    2090064 |    2161777 |    2153915 |    2116654
  num incorrect                      |        981 |        981 |        981 |       1022 |        981 |        981 |        981 |        981 |        981
  misprediction rate                 |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |    8061954 |    8352799 |    8042125 |    8525013 |    8465361 |    8200258 |    8484878 |    8453681 |    8305794
    num misses                       |         40 |         40 |         40 |         43 |         40 |         40 |         40 |         40 |         40
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |   34095845 |   35326839 |   34011908 |   36055649 |   35803258 |   34681207 |   35885861 |   35753825 |   35127886
    num misses                       |         69 |         69 |         69 |         71 |         69 |         69 |         69 |         69 |         69
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |           
    num accesses                     |        109 |        109 |        109 |        114 |        109 |        109 |        109 |        109 |        109
    num misses                       |        109 |        109 |        109 |        112 |        109 |        109 |        109 |        109 |        109
    miss rate                        |    100.00% |    100.00% |    100.00% |     98.25% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |    8061954 |    8352799 |    8042125 |    8525013 |    8465361 |    8200258 |    8484878 |    8453681 |    8305794
    num cache misses                 |    7214539 |    7346244 |    7206485 |    7436727 |    7400734 |    7287068 |    7421013 |    7409395 |    7339777
    miss rate                        |     89.49% |     87.95% |     89.61% |     87.23% |     87.42% |     88.86% |     87.46% |     87.65% |     88.37%
    mpki                             |      97.50 |      95.81 |      97.63 |      95.03 |      95.24 |      96.82 |      95.28 |      95.48 |      96.27
  Cache L1-D                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |   34095845 |   35326839 |   34011908 |   36055649 |   35803258 |   34681207 |   35885861 |   35753825 |   35127886
    num cache misses                 |    5502175 |    5590922 |    5502233 |    5645228 |    5627192 |    5546824 |    5633819 |    5623892 |    5581032
    miss rate                        |     16.14% |     15.83% |     16.18% |     15.66% |     15.72% |     15.99% |     15.70% |     15.73% |     15.89%
    mpki                             |      74.36 |      72.92 |      74.54 |      72.14 |      72.41 |      73.69 |      72.33 |      72.47 |      73.20
  Cache L2                           |            |            |            |            |            |            |            |            |           
    num cache accesses               |   12716725 |   12937178 |   12708729 |   13081975 |   13027940 |   12833903 |   13054844 |   13033302 |   12920820
    num cache misses                 |    6166366 |    6143951 |    6153369 |    6168583 |    6144399 |    6168080 |    6176964 |    6134930 |    6143559
    miss rate                        |     48.49% |     47.49% |     48.42% |     47.15% |     47.16% |     48.06% |     47.32% |     47.07% |     47.55%
    mpki                             |      83.34 |      80.13 |      83.37 |      78.83 |      79.07 |      81.95 |      79.31 |      79.06 |      80.58
  Cache L3                           |            |            |            |            |            |            |            |            |           
    num cache accesses               |    6166379 |    6143964 |    6153381 |    6168603 |    6144414 |    6168092 |    6176976 |    6134945 |    6143571
    num cache misses                 |       3731 |       3765 |       3728 |       3837 |       3778 |       3744 |       3774 |       3768 |       3759
