                                     | Core 0     | Core 1     | Core 2    
  Instructions                       |   70121770 |   70121614 |   70121655
  Cycles                             |  750718234 |  750718234 |  750718234
  IPC                                |       0.09 |       0.09 |       0.09
  Time (ns)                          |  282224900 |  282224900 |  282224900
  Idle time (ns)                     |       -302 |        -52 |        -52
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |           
  num correct                        |   10022008 |   10021999 |   10022003
  num incorrect                      |       1519 |       1510 |       1514
  misprediction rate                 |      0.02% |      0.02% |      0.02%
  mpki                               |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |           
  I-TLB                              |            |            |           
    num accesses                     |      15340 |      15326 |      15332
    num misses                       |         52 |         51 |         51
    miss rate                        |      0.34% |      0.33% |      0.33%
    mpki                             |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |           
    num accesses                     |   60040266 |   60040245 |   60040261
    num misses                       |         80 |         80 |         80
    miss rate                        |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |           
    num accesses                     |        132 |        131 |        131
    num misses                       |        121 |        120 |        120
    miss rate                        |     91.67% |     91.60% |     91.60%
    mpki                             |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |           
  Cache L1-I                         |            |            |           
    num cache accesses               |      15340 |      15326 |      15332
    num cache misses                 |       1446 |       1424 |       1469
    miss rate                        |      9.43% |      9.29% |      9.58%
    mpki                             |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |           
    num cache accesses               |   60040266 |   60040245 |   60040261
    num cache misses                 |       2268 |       2301 |       2291
    miss rate                        |      0.00% |      0.00% |      0.00%
    mpki                             |       0.03 |       0.03 |       0.03
  Cache L2                           |            |            |           
    num cache accesses               |       3751 |       3762 |       3797
    num cache misses                 |       2695 |       2734 |       2748
    miss rate                        |     71.85% |     72.67% |     72.37%
    mpki                             |       0.04 |       0.04 |       0.04
  Cache L3                           |            |            |           
    num cache accesses               |       2734 |       2772 |       2786
    num cache misses                 |       2482 |       2472 |       2477
    miss rate                        |     90.78% |     89.18% |     88.91%
    mpki                             |       0.04 |       0.04 |       0.04
DRAM summary                         |            |            |           
  num dram accesses                  |       7431 |          0 |          0
  average dram access latency (ns)   |      67.78 |        inf |        inf
  average dram queueing delay        |      14.35 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |           
  num loads from dram                |       1130 |       1125 |       1131
  num loads from dram cache          |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0
