                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  Instructions                       |   12603796 |   12585061 |   12581328 |   12614443 |   12605485 |   12580811 |   12586520 |   12584262 |   12621661 |   12583330 |   12581651 |   12594859 |   12580914 |   12587155 |   12581593
  Cycles                             |   63563094 |   63563094 |   63563094 |   63563094 |   63563094 |   63563094 |   63563094 |   63563094 |   63563094 |   63563094 |   63563094 |   63563094 |   63563094 |   63563094 |   63563094
  IPC                                |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20
  Time (ns)                          |   23895900 |   23895900 |   23895900 |   23895900 |   23895900 |   23895900 |   23895900 |   23895900 |   23895900 |   23895900 |   23895900 |   23895900 |   23895900 |   23895900 |   23895900
  Idle time (ns)                     |         -8 |        172 |         -8 |        155 |        131 |         96 |         96 |         76 |         -8 |        153 |        200 |        131 |        125 |        183 |        199
  Idle time (%)                      |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    2518535 |    2514788 |    2514040 |    2520664 |    2518872 |    2513938 |    2515080 |    2514628 |    2522009 |    2514441 |    2514106 |    2516747 |    2513958 |    2515206 |    2514095
  num incorrect                      |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1516 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440
  misprediction rate                 |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06%
  mpki                               |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.12 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15333 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164
    num misses                       |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         52 |         48 |         48 |         48 |         48 |         48 |         48
    miss rate                        |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.34% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      39841 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841 |      40220 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841
    num misses                       |         73 |         73 |         73 |         73 |         73 |         73 |         73 |         73 |         74 |         73 |         73 |         73 |         73 |         73 |         73
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        121 |        121 |        121 |        121 |        121 |        121 |        121 |        121 |        126 |        121 |        121 |        121 |        121 |        121 |        121
    num misses                       |        116 |        116 |        116 |        116 |        116 |        116 |        116 |        116 |        121 |        116 |        116 |        116 |        116 |        116 |        116
    miss rate                        |     95.87% |     95.87% |     95.87% |     95.87% |     95.87% |     95.87% |     95.87% |     95.87% |     96.03% |     95.87% |     95.87% |     95.87% |     95.87% |     95.87% |     95.87%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15333 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164
    num cache misses                 |       6340 |       6904 |       6790 |       6311 |       5997 |       6962 |       6720 |       6964 |       5780 |       6579 |       6895 |       6308 |       6855 |       6872 |       6913
    miss rate                        |     41.81% |     45.53% |     44.78% |     41.62% |     39.55% |     45.91% |     44.32% |     45.92% |     37.70% |     43.39% |     45.47% |     41.60% |     45.21% |     45.32% |     45.59%
    mpki                             |       0.50 |       0.55 |       0.54 |       0.50 |       0.48 |       0.55 |       0.53 |       0.55 |       0.46 |       0.52 |       0.55 |       0.50 |       0.54 |       0.55 |       0.55
