                                     | Core 0    
  Instructions                       |   12621738
  Cycles                             |    4478908
  IPC                                |       2.82
  Time (ns)                          |    1683800
  Idle time (ns)                     |         -1
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |    2522009
  num incorrect                      |       1516
  misprediction rate                 |      0.06%
  mpki                               |       0.12
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |      15333
    num misses                       |         52
    miss rate                        |      0.34%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |      40258
    num misses                       |         74
    miss rate                        |      0.18%
    mpki                             |       0.01
  L2 TLB                             |           
    num accesses                     |        126
    num misses                       |        121
    miss rate                        |     96.03%
    mpki                             |       0.01
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      15333
    num cache misses                 |        874
    miss rate                        |      5.70%
    mpki                             |       0.07
  Cache L1-D                         |           
    num cache accesses               |      40258
    num cache misses                 |       1802
    miss rate                        |      4.48%
    mpki                             |       0.14
  Cache L2                           |           
    num cache accesses               |       2720
    num cache misses                 |       2480
    miss rate                        |     91.18%
    mpki                             |       0.20
  Cache L3                           |           
    num cache accesses               |       2526
    num cache misses                 |       2479
    miss rate                        |     98.14%
    mpki                             |       0.20
DRAM summary                         |           
  num dram accesses                  |       2479
  average dram access latency (ns)   |      57.12
  average dram queueing delay        |       3.69
  average dram bandwidth utilization |      1.00%
Coherency Traffic                    |           
  num loads from dram                |       1125
  num loads from dram cache          |          0
  num loads from remote cache        |          0
