                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   50121035 |     124574 |   50121625 |   50121215
  Cycles                             |  120508108 |  120508108 |  120508108 |  120508108
  IPC                                |       0.42 |       0.00 |       0.42 |       0.42
  Time (ns)                          |   45303800 |   45303800 |   45303800 |   45303800
  Idle time (ns)                     |        -16 |        -49 |        -49 |         19
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |   10021938 |      22679 |   10022009 |   10021962
  num incorrect                      |       1468 |       1441 |       1517 |       1474
  misprediction rate                 |      0.01% |      5.97% |      0.02% |      0.01%
  mpki                               |       0.03 |      11.57 |       0.03 |       0.03
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |      15220 |      15165 |      15334 |      15252
    num misses                       |         49 |         48 |         52 |         49
    miss rate                        |      0.32% |      0.32% |      0.34% |      0.32%
    mpki                             |       0.00 |       0.39 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   60039946 |      44441 |   60040200 |   60040046
    num misses                       |        126 |        126 |        128 |        127
    miss rate                        |      0.00% |      0.28% |      0.00% |      0.00%
    mpki                             |       0.00 |       1.01 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |        175 |        174 |        180 |        176
    num misses                       |        117 |        116 |        121 |        117
    miss rate                        |     66.86% |     66.67% |     67.22% |     66.48%
    mpki                             |       0.00 |       0.93 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      15220 |      15165 |      15334 |      15252
    num cache misses                 |       1614 |       1432 |       1597 |       1612
    miss rate                        |     10.60% |      9.44% |     10.41% |     10.57%
    mpki                             |       0.03 |      11.50 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   60039946 |      44441 |   60040200 |   60040046
    num cache misses                 |       2617 |       2560 |       2626 |       2627
    miss rate                        |      0.00% |      5.76% |      0.00% |      0.00%
    mpki                             |       0.05 |      20.55 |       0.05 |       0.05
  Cache L2                           |            |            |            |           
    num cache accesses               |       4267 |       4026 |       4259 |       4275
    num cache misses                 |       2739 |       2721 |       2800 |       2744
    miss rate                        |     64.19% |     67.59% |     65.74% |     64.19%
    mpki                             |       0.05 |      21.84 |       0.06 |       0.05
  Cache L3                           |            |            |            |           
    num cache accesses               |       2777 |       2758 |       2839 |       2783
    num cache misses                 |       2429 |       2410 |       2476 |       2435
    miss rate                        |     87.47% |     87.38% |     87.21% |     87.50%
    mpki                             |       0.05 |      19.35 |       0.05 |       0.05
DRAM summary                         |            |            |            |           
  num dram accesses                  |       9750 |          0 |          0 |          0
  average dram access latency (ns)   |      70.72 |        inf |        inf |        inf
  average dram queueing delay        |      17.29 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       1122 |       1123 |       1128 |       1124
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
