                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10   
  Instructions                       |   60079600 |   60078598 |   60121634 |   60106634 |   60085666 |   60087282 |   60079336 |   60080533 |   60097878 |   60085057 |   60081319
  Cycles                             |  220801280 |  220801280 |  220801280 |  220801280 |  220801280 |  220801280 |  220801280 |  220801280 |  220801280 |  220801280 |  220801280
  IPC                                |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27
  Time (ns)                          |   83008000 |   83008000 |   83008000 |   83008000 |   83008000 |   83008000 |   83008000 |   83008000 |   83008000 |   83008000 |   83008000
  Idle time (ns)                     |         41 |         91 |        -26 |          6 |         -2 |         40 |         39 |         -7 |        -26 |         91 |         14
  Idle time (%)                      |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10015066 |   10014899 |   10022009 |   10019570 |   10016076 |   10016346 |   10015021 |   10015221 |   10018111 |   10015975 |   10015352
  num incorrect                      |       1441 |       1441 |       1517 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441
  misprediction rate                 |      0.01% |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.03 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15164 |      15164 |      15333 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164
    num misses                       |         48 |         48 |         52 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48
    miss rate                        |      0.32% |      0.32% |      0.34% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      39846 |      39846 |      40212 |      39846 |      39846 |      39846 |      39846 |      39846 |      39846 |      39846 |      39846
    num misses                       |         75 |         75 |         76 |         75 |         75 |         75 |         75 |         75 |         75 |         75 |         75
    miss rate                        |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        123 |        123 |        128 |        123 |        123 |        123 |        123 |        123 |        123 |        123 |        123
    num misses                       |        118 |        118 |        123 |        118 |        118 |        118 |        118 |        118 |        118 |        118 |        118
    miss rate                        |     95.93% |     95.93% |     96.09% |     95.93% |     95.93% |     95.93% |     95.93% |     95.93% |     95.93% |     95.93% |     95.93%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15164 |      15164 |      15333 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164
    num cache misses                 |       6476 |       6583 |       5164 |       5703 |       6439 |       6235 |       6498 |       6450 |       5569 |       6298 |       6281
    miss rate                        |     42.71% |     43.41% |     33.68% |     37.61% |     42.46% |     41.12% |     42.85% |     42.53% |     36.73% |     41.53% |     41.42%
    mpki                             |       0.11 |       0.11 |       0.09 |       0.09 |       0.11 |       0.10 |       0.11 |       0.11 |       0.09 |       0.10 |       0.10
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      39846 |      39846 |      40212 |      39846 |      39846 |      39846 |      39846 |      39846 |      39846 |      39846 |      39846
    num cache misses                 |       7612 |       7644 |       6738 |       7203 |       7592 |       7490 |       7652 |       7595 |       7175 |       7562 |       7458
    miss rate                        |     19.10% |     19.18% |     16.76% |     18.08% |     19.05% |     18.80% |     19.20% |     19.06% |     18.01% |     18.98% |     18.72%
    mpki                             |       0.13 |       0.13 |       0.11 |       0.12 |       0.13 |       0.12 |       0.13 |       0.13 |       0.12 |       0.13 |       0.12
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      14127 |      14265 |      11946 |      12945 |      14072 |      13767 |      14188 |      14083 |      12783 |      13901 |      13781
    num cache misses                 |      10626 |      10744 |       9755 |      10337 |      10842 |      10757 |      10772 |      10744 |      10341 |      10807 |      10610
    miss rate                        |     75.22% |     75.32% |     81.66% |     79.85% |     77.05% |     78.14% |     75.92% |     76.29% |     80.90% |     77.74% |     76.99%
    mpki                             |       0.18 |       0.18 |       0.16 |       0.17 |       0.18 |       0.18 |       0.18 |       0.18 |       0.17 |       0.18 |       0.18
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      10665 |      10783 |       9802 |      10377 |      10883 |      10800 |      10811 |      10783 |      10384 |      10848 |      10653
    num cache misses                 |       2599 |       2601 |       2662 |       2588 |       2578 |       2588 |       2594 |       2601 |       2593 |       2600 |       2602
    miss rate                        |     24.37% |     24.12% |     27.16% |     24.94% |     23.69% |     23.96% |     23.99% |     24.12% |     24.97% |     23.97% |     24.43%
    mpki                             |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      29243 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      91.41 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      37.98 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |       1313 |       1311 |       1311 |       1295 |       1300 |       1304 |       1314 |       1317 |       1301 |       1320 |       1317
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
