                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9    
  Instructions                       |    6726357 |    6724365 |    6718818 |    6728821 |    6728278 |    6728377 |    6728595 |    6727443 |    6723273 |    6726757
  Cycles                             |   28111944 |   28111944 |   28111944 |   28111944 |   28111944 |   28111944 |   28111944 |   28111944 |   28111944 |   28111944
  IPC                                |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24
  Time (ns)                          |   10568400 |   10568400 |   10568400 |   10568400 |   10568400 |   10568400 |   10568400 |   10568400 |   10568400 |   10568400
  Idle time (ns)                     |          1 |        113 |         25 |         -1 |        113 |         25 |         99 |         -1 |         99 |         93
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |           
  num correct                        |     259577 |     259537 |     259429 |     259678 |     259633 |     259636 |     259658 |     259598 |     259516 |     259585
  num incorrect                      |       3911 |       3911 |       3911 |       3961 |       3920 |       3928 |       3945 |       3911 |       3911 |       3911
  misprediction rate                 |      1.48% |      1.48% |      1.49% |      1.50% |      1.49% |      1.49% |      1.50% |      1.48% |      1.48% |      1.48%
  mpki                               |       0.58 |       0.58 |       0.58 |       0.59 |       0.58 |       0.58 |       0.59 |       0.58 |       0.58 |       0.58
TLB Summary                          |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     680394 |     680239 |     679811 |     680639 |     680558 |     680574 |     680614 |     680478 |     680155 |     680425
    num misses                       |         60 |         60 |         60 |         62 |         60 |         60 |         62 |         60 |         60 |         60
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    3649019 |    3647972 |    3645097 |    3650235 |    3650023 |    3650085 |    3650171 |    3649581 |    3647415 |    3649225
