                                     | Core 0    
  Instructions                       |   70121813
  Cycles                             |   90313118
  IPC                                |       0.78
  Time (ns)                          |   33952300
  Idle time (ns)                     |        -38
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   10022008
  num incorrect                      |       1519
  misprediction rate                 |      0.02%
  mpki                               |       0.02
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |      15340
    num misses                       |         52
    miss rate                        |      0.34%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   60040285
    num misses                       |         80
    miss rate                        |      0.00%
    mpki                             |       0.00
  L2 TLB                             |           
    num accesses                     |        132
    num misses                       |        121
    miss rate                        |     91.67%
    mpki                             |       0.00
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      15340
    num cache misses                 |        877
    miss rate                        |      5.72%
    mpki                             |       0.01
  Cache L1-D                         |           
    num cache accesses               |   60040285
    num cache misses                 |       1805
    miss rate                        |      0.00%
    mpki                             |       0.03
  Cache L2                           |           
    num cache accesses               |       2725
    num cache misses                 |       2482
    miss rate                        |     91.08%
    mpki                             |       0.04
  Cache L3                           |           
    num cache accesses               |       2527
    num cache misses                 |       2482
    miss rate                        |     98.22%
    mpki                             |       0.04
DRAM summary                         |           
  num dram accesses                  |       2482
  average dram access latency (ns)   |      57.13
  average dram queueing delay        |       3.70
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |       1125
  num loads from dram cache          |          0
  num loads from remote cache        |          0
