                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4    
  Instructions                       |   78256661 |   77099417 |   76581982 |   76587731 |   76788872
  Cycles                             |  156519454 |  156519454 |  156519454 |  156519454 |  156519454
  IPC                                |       0.50 |       0.49 |       0.49 |       0.49 |       0.49
  Time (ns)                          |   58841900 |   58841900 |   58841900 |   58841900 |   58841900
  Idle time (ns)                     |         -0 |         -0 |         54 |         43 |         37
  Idle time (%)                      |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |           
  num correct                        |    2171907 |    2140209 |    2126046 |    2126203 |    2131709
  num incorrect                      |       1022 |        981 |        981 |        981 |        981
  misprediction rate                 |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |           
  I-TLB                              |            |            |            |            |           
    num accesses                     |    8525013 |    8399277 |    8343066 |    8343689 |    8365543
    num misses                       |         43 |         40 |         40 |         40 |         40
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |           
    num accesses                     |   36055597 |   35523544 |   35285641 |   35288279 |   35380770
    num misses                       |         71 |         69 |         69 |         69 |         69
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |           
    num accesses                     |        114 |        109 |        109 |        109 |        109
    num misses                       |        112 |        109 |        109 |        109 |        109
    miss rate                        |     98.25% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |           
    num cache accesses               |    8525013 |    8399277 |    8343066 |    8343689 |    8365543
    num cache misses                 |    2400787 |    2533351 |    2553984 |    2555647 |    2560768
    miss rate                        |     28.16% |     30.16% |     30.61% |     30.63% |     30.61%
    mpki                             |      30.68 |      32.86 |      33.35 |      33.37 |      33.35
  Cache L1-D                         |            |            |            |            |           
    num cache accesses               |   36055597 |   35523544 |   35285641 |   35288279 |   35380770
    num cache misses                 |    2177770 |    2153201 |    2140746 |    2140673 |    2148164
    miss rate                        |      6.04% |      6.06% |      6.07% |      6.07% |      6.07%
    mpki                             |      27.83 |      27.93 |      27.95 |      27.95 |      27.97
  Cache L2                           |            |            |            |            |           
    num cache accesses               |    4578574 |    4686568 |    4694746 |    4696335 |    4708947
    num cache misses                 |     186259 |     195736 |     227336 |     223133 |     210471
    miss rate                        |      4.07% |      4.18% |      4.84% |      4.75% |      4.47%
    mpki                             |       2.38 |       2.54 |       2.97 |       2.91 |       2.74
  Cache L3                           |            |            |            |            |           
    num cache accesses               |     186278 |     195753 |     227353 |     223149 |     210487
    num cache misses                 |       3822 |       3762 |       3755 |       3755 |       3757
    miss rate                        |      2.05% |      1.92% |      1.65% |      1.68% |      1.78%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
DRAM summary                         |            |            |            |            |           
  num dram accesses                  |      18851 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      61.94 |        inf |        inf |        inf |        inf
  average dram queueing delay        |       8.51 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |           
  num loads from dram                |       1177 |       1163 |       1165 |       1163 |       1141
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0
