                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    9891176 |    9890459 |    9892239 |    9891509 |    9892909 |    9893157 |    9890783 |    9892102 |    9892587 |    9889857 |    9892756 |    9892461 |    9890131 |    9888672 |    9891745 |    9892147
  Cycles                             |   64213996 |   64213996 |   64213996 |   64213996 |   64213996 |   64213996 |   64213996 |   64213996 |   64213996 |   64213996 |   64213996 |   64213996 |   64213996 |   64213996 |   64213996 |   64213996
  IPC                                |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15
  Time (ns)                          |   24140600 |   24140600 |   24140600 |   24140600 |   24140600 |   24140600 |   24140600 |   24140600 |   24140600 |   24140600 |   24140600 |   24140600 |   24140600 |   24140600 |   24140600 |   24140600
  Idle time (ns)                     |        125 |         60 |         32 |        -26 |        -48 |        -59 |        -57 |         14 |         32 |         92 |        -59 |        163 |        -48 |        162 |         60 |        204
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     287286 |     287266 |     287314 |     287295 |     287342 |     287362 |     287275 |     287311 |     287324 |     287248 |     287329 |     287320 |     287256 |     287216 |     287301 |     287312
  num incorrect                      |        974 |        974 |        974 |        974 |        999 |       1015 |        974 |        974 |        974 |        974 |        976 |        974 |        974 |        974 |        974 |        974
  misprediction rate                 |      0.34% |      0.34% |      0.34% |      0.34% |      0.35% |      0.35% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34%
  mpki                               |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1086002 |    1085923 |    1086115 |    1086037 |    1086203 |    1086228 |    1085959 |    1086102 |    1086154 |    1085855 |    1086170 |    1086139 |    1085886 |    1085727 |    1086063 |    1086106
    num misses                       |         40 |         40 |         40 |         40 |         42 |         43 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40
