                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4    
  Instructions                       |   40121651 |   40113468 |   40110470 |   40104153 |   40092604
  Cycles                             |   67369022 |   67369022 |   67369022 |   67369022 |   67369022
  IPC                                |       0.60 |       0.60 |       0.60 |       0.60 |       0.60
  Time (ns)                          |   25326700 |   25326700 |   25326700 |   25326700 |   25326700
  Idle time (ns)                     |        -63 |        -28 |        -63 |         -6 |          3
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |           
  num correct                        |   10022008 |   10020110 |   10019360 |   10017780 |   10014897
  num incorrect                      |       1517 |       1441 |       1441 |       1441 |       1441
  misprediction rate                 |      0.02% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |            |            |           
  I-TLB                              |            |            |            |            |           
    num accesses                     |      15334 |      15165 |      15165 |      15165 |      15165
    num misses                       |         52 |         48 |         48 |         48 |         48
    miss rate                        |      0.34% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |           
    num accesses                     |      40218 |      39839 |      39839 |      39839 |      39839
    num misses                       |         76 |         75 |         75 |         75 |         75
    miss rate                        |      0.19% |      0.19% |      0.19% |      0.19% |      0.19%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |           
    num accesses                     |        128 |        123 |        123 |        123 |        123
    num misses                       |        121 |        116 |        116 |        116 |        116
    miss rate                        |     94.53% |     94.31% |     94.31% |     94.31% |     94.31%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |           
    num cache accesses               |      15334 |      15165 |      15165 |      15165 |      15165
    num cache misses                 |       2974 |       3342 |       3327 |       3318 |       3144
    miss rate                        |     19.39% |     22.04% |     21.94% |     21.88% |     20.73%
    mpki                             |       0.07 |       0.08 |       0.08 |       0.08 |       0.08
  Cache L1-D                         |            |            |            |            |           
    num cache accesses               |      40218 |      39839 |      39839 |      39839 |      39839
    num cache misses                 |       3409 |       3501 |       3498 |       3446 |       3339
    miss rate                        |      8.48% |      8.79% |      8.78% |      8.65% |      8.38%
    mpki                             |       0.08 |       0.09 |       0.09 |       0.09 |       0.08
  Cache L2                           |            |            |            |            |           
    num cache accesses               |       6416 |       6874 |       6856 |       6795 |       6516
    num cache misses                 |       3201 |       3111 |       3119 |       3106 |       3115
    miss rate                        |     49.89% |     45.26% |     45.49% |     45.71% |     47.81%
    mpki                             |       0.08 |       0.08 |       0.08 |       0.08 |       0.08
  Cache L3                           |            |            |            |            |           
    num cache accesses               |       3239 |       3145 |       3153 |       3142 |       3152
    num cache misses                 |       2477 |       2411 |       2411 |       2411 |       2411
    miss rate                        |     76.47% |     76.66% |     76.47% |     76.73% |     76.49%
    mpki                             |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
DRAM summary                         |            |            |            |            |           
  num dram accesses                  |      12121 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      70.08 |        inf |        inf |        inf |        inf
  average dram queueing delay        |      16.65 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |           
  num loads from dram                |       1133 |       1128 |       1130 |       1130 |       1129
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0
