                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |   60084318 |   60081369 |   60121650 |   60088066 |   60080587 |   60080513 |   60081004 |   60097060 |   60081504 |   60082657 |   60080794 |   60121304
  Cycles                             |  241044944 |  241044944 |  241044944 |  241044944 |  241044944 |  241044944 |  241044944 |  241044944 |  241044944 |  241044944 |  241044944 |  241044944
  IPC                                |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25
  Time (ns)                          |   90618400 |   90618400 |   90618400 |   90618400 |   90618400 |   90618400 |   90618400 |   90618400 |   90618400 |   90618400 |   90618400 |   90618400
  Idle time (ns)                     |         88 |         13 |        -38 |         78 |         44 |         13 |         88 |         60 |         44 |        109 |        -38 |        338
  Idle time (%)                      |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10015852 |   10015361 |   10022010 |   10016477 |   10015230 |   10015218 |   10015300 |   10017976 |   10015384 |   10015576 |   10015265 |   10021972
  num incorrect                      |       1440 |       1440 |       1516 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1481
  misprediction rate                 |      0.01% |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.03 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15164 |      15164 |      15333 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15269
    num misses                       |         48 |         48 |         52 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         50
    miss rate                        |      0.32% |      0.32% |      0.34% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.33%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      39845 |      39845 |      40222 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      40103
    num misses                       |        158 |        158 |        159 |        158 |        158 |        158 |        158 |        158 |        158 |        158 |        158 |        159
    miss rate                        |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        206 |        206 |        211 |        206 |        206 |        206 |        206 |        206 |        206 |        206 |        206 |        209
    num misses                       |        122 |        122 |        127 |        122 |        122 |        122 |        122 |        122 |        122 |        122 |        122 |        125
    miss rate                        |     59.22% |     59.22% |     60.19% |     59.22% |     59.22% |     59.22% |     59.22% |     59.22% |     59.22% |     59.22% |     59.22% |     59.81%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15164 |      15164 |      15333 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15269
    num cache misses                 |       6747 |       6794 |       5453 |       6459 |       6704 |       6719 |       6348 |       6429 |       6784 |       6657 |       6708 |       5129
    miss rate                        |     44.49% |     44.80% |     35.56% |     42.59% |     44.21% |     44.31% |     41.86% |     42.40% |     44.74% |     43.90% |     44.24% |     33.59%
    mpki                             |       0.11 |       0.11 |       0.09 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.09
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      39845 |      39845 |      40222 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      40103
    num cache misses                 |       8824 |       8748 |       7640 |       8578 |       8830 |       8671 |       8459 |       8375 |       8770 |       8749 |       8641 |       7391
    miss rate                        |     22.15% |     21.96% |     18.99% |     21.53% |     22.16% |     21.76% |     21.23% |     21.02% |     22.01% |     21.96% |     21.69% |     18.43%
    mpki                             |       0.15 |       0.15 |       0.13 |       0.14 |       0.15 |       0.14 |       0.14 |       0.14 |       0.15 |       0.15 |       0.14 |       0.12
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15604 |      15574 |      13127 |      15067 |      15564 |      15422 |      14839 |      14835 |      15587 |      15437 |      15379 |      12555
    num cache misses                 |      12972 |      12752 |      11004 |      12473 |      12952 |      12729 |      12200 |      12124 |      12673 |      12811 |      12360 |      10486
    miss rate                        |     83.13% |     81.88% |     83.83% |     82.78% |     83.22% |     82.54% |     82.22% |     81.73% |     81.30% |     82.99% |     80.37% |     83.52%
    mpki                             |       0.22 |       0.21 |       0.18 |       0.21 |       0.22 |       0.21 |       0.20 |       0.20 |       0.21 |       0.21 |       0.21 |       0.17
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      13005 |      12784 |      11038 |      12504 |      12983 |      12761 |      12235 |      12155 |      12706 |      12842 |      12390 |      10524
    num cache misses                 |       2593 |       2591 |       2643 |       2594 |       2598 |       2590 |       2587 |       2583 |       2598 |       2594 |       2587 |       2609
    miss rate                        |     19.94% |     20.27% |     23.94% |     20.75% |     20.01% |     20.30% |     21.14% |     21.25% |     20.45% |     20.20% |     20.88% |     24.79%
