                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |   28759933 |   28555671 |   28536540 |   28538492 |   28631942 |   28543045 |   28567081 |   28569593 |   28598533 |   28657783 |   28613333 |   28733114
  Cycles                             |  162852116 |  162852116 |  162852116 |  162852116 |  162852116 |  162852116 |  162852116 |  162852116 |  162852116 |  162852116 |  162852116 |  162852116
  IPC                                |       0.18 |       0.18 |       0.18 |       0.18 |       0.18 |       0.18 |       0.18 |       0.18 |       0.18 |       0.18 |       0.18 |       0.18
  Time (ns)                          |   61222600 |   61222600 |   61222600 |   61222600 |   61222600 |   61222600 |   61222600 |   61222600 |   61222600 |   61222600 |   61222600 |   61222600
  Idle time (ns)                     |        -89 |        106 |         30 |          6 |        -89 |        105 |          1 |         79 |        -14 |         50 |         30 |         79
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1059719 |    1055685 |    1055312 |    1055350 |    1057171 |    1055439 |    1055908 |    1055957 |    1056520 |    1057675 |    1056810 |    1059145
  num incorrect                      |       8006 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2876325 |    2860494 |    2859016 |    2859167 |    2866383 |    2859519 |    2861376 |    2861570 |    2863803 |    2868379 |    2864948 |    2874198
    num misses                       |         63 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   15778126 |   15672030 |   15662089 |   15663100 |   15711658 |   15665470 |   15677960 |   15679268 |   15694308 |   15725099 |   15702002 |   15764255
    num misses                       |       6344 |       5884 |       5839 |       5844 |       6050 |       5855 |       5911 |       5916 |       5983 |       6109 |       6009 |       6272
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.22 |       0.21 |       0.20 |       0.20 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.22
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       6407 |       5945 |       5900 |       5905 |       6111 |       5916 |       5972 |       5977 |       6044 |       6170 |       6070 |       6333
    num misses                       |        333 |        316 |        316 |        316 |        316 |        316 |        316 |        316 |        316 |        316 |        316 |        320
