                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4    
  Instructions                       |   28759905 |   28742774 |   28570883 |   28523601 |   28522881
  Cycles                             |   80326414 |   80326414 |   80326414 |   80326414 |   80326414
  IPC                                |       0.36 |       0.36 |       0.36 |       0.36 |       0.36
  Time (ns)                          |   30197900 |   30197900 |   30197900 |   30197900 |   30197900
  Idle time (ns)                     |        -19 |         67 |         56 |        -19 |         84
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |           
  num correct                        |    1059719 |    1059332 |    1055981 |    1055060 |    1055046
  num incorrect                      |       8006 |       7955 |       7955 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |           
  I-TLB                              |            |            |            |            |           
    num accesses                     |    2876325 |    2874942 |    2861668 |    2858018 |    2857962
    num misses                       |         63 |         61 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |           
    num accesses                     |   15778116 |   15769267 |   15679935 |   15655352 |   15654990
    num misses                       |       6344 |       6295 |       5919 |       5808 |       5807
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.22 |       0.22 |       0.21 |       0.20 |       0.20
  L2 TLB                             |            |            |            |            |           
    num accesses                     |       6407 |       6356 |       5980 |       5869 |       5868
    num misses                       |        333 |        320 |        316 |        316 |        316
    miss rate                        |      5.20% |      5.03% |      5.28% |      5.38% |      5.39%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |           
    num cache accesses               |    2876325 |    2874942 |    2861668 |    2858018 |    2857962
    num cache misses                 |     505696 |     526344 |     542315 |     550446 |     551292
    miss rate                        |     17.58% |     18.31% |     18.95% |     19.26% |     19.29%
    mpki                             |      17.58 |      18.31 |      18.98 |      19.30 |      19.33
  Cache L1-D                         |            |            |            |            |           
    num cache accesses               |   15778116 |   15769267 |   15679935 |   15655352 |   15654990
    num cache misses                 |     118272 |     118911 |     118674 |     116353 |     116857
    miss rate                        |      0.75% |      0.75% |      0.76% |      0.74% |      0.75%
    mpki                             |       4.11 |       4.14 |       4.15 |       4.08 |       4.10
  Cache L2                           |            |            |            |            |           
    num cache accesses               |     623991 |     645277 |     661011 |     666822 |     668171
    num cache misses                 |      97753 |      97824 |      96056 |      96059 |      96006
    miss rate                        |     15.67% |     15.16% |     14.53% |     14.41% |     14.37%
    mpki                             |       3.40 |       3.40 |       3.36 |       3.37 |       3.37
  Cache L3                           |            |            |            |            |           
    num cache accesses               |      97790 |      97855 |      96093 |      96092 |      96041
    num cache misses                 |      13893 |      13828 |      13831 |      13831 |      13831
    miss rate                        |     14.21% |     14.13% |     14.39% |     14.39% |     14.40%
    mpki                             |       0.48 |       0.48 |       0.48 |       0.48 |       0.48
DRAM summary                         |            |            |            |            |           
  num dram accesses                  |      69429 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      56.84 |        inf |        inf |        inf |        inf
  average dram queueing delay        |       3.41 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |           
  num loads from dram                |       6562 |       6501 |       6542 |       6597 |       6547
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0
