                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9    
  Instructions                       |   78255242 |   78256678 |   78256635 |   78256610 |   78256454 |   78255913 |   78255530 |   78256496 |   78254058 |   78256608
  Cycles                             |   31852968 |   31852968 |   31852968 |   31852968 |   31852968 |   31852968 |   31852968 |   31852968 |   31852968 |   31852968
  IPC                                |       2.46 |       2.46 |       2.46 |       2.46 |       2.46 |       2.46 |       2.46 |       2.46 |       2.46 |       2.46
  Time (ns)                          |   11974800 |   11974800 |   11974800 |   11974800 |   11974800 |   11974800 |   11974800 |   11974800 |   11974800 |   11974800
  Idle time (ns)                     |         74 |         93 |        -54 |         -1 |        -38 |         62 |         72 |          5 |         73 |         -1
  Idle time (%)                      |       0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |           
  num correct                        |    2171843 |    2171907 |    2171904 |    2171899 |    2171882 |    2171861 |    2171851 |    2171884 |    2171811 |    2171899
  num incorrect                      |        981 |       1022 |       1017 |       1015 |        996 |        981 |        981 |       1003 |        981 |       1015
  misprediction rate                 |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    8524835 |    8525013 |    8525006 |    8525005 |    8524975 |    8524908 |    8524867 |    8524984 |    8524707 |    8525005
    num misses                       |         40 |         43 |         42 |         42 |         40 |         40 |         40 |         41 |         40 |         42
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |           
