                                     | Core 0     | Core 1     | Core 2    
  Instructions                       |   60121629 |     128953 |     120578
  Cycles                             |   60724874 |   60724874 |   60724874
  IPC                                |       0.99 |       0.00 |       0.00
  Time (ns)                          |   22828900 |   22828900 |   22828900
  Idle time (ns)                     |        -74 |        -74 |       2329
  Idle time (%)                      |      -0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |           
  num correct                        |   10022010 |      23297 |      21908
  num incorrect                      |       1516 |       1440 |       1435
  misprediction rate                 |      0.02% |      5.82% |      6.15%
  mpki                               |       0.03 |      11.17 |      11.90
TLB Summary                          |            |            |           
  I-TLB                              |            |            |           
    num accesses                     |      15333 |      15164 |      15143
    num misses                       |         52 |         48 |         47
    miss rate                        |      0.34% |      0.32% |      0.31%
    mpki                             |       0.00 |       0.37 |       0.39
  D-TLB                              |            |            |           
    num accesses                     |      40208 |      39845 |      39780
    num misses                       |        159 |        158 |        158
    miss rate                        |      0.40% |      0.40% |      0.40%
    mpki                             |       0.00 |       1.23 |       1.31
  L2 TLB                             |            |            |           
    num accesses                     |        211 |        206 |        205
    num misses                       |        127 |        122 |        121
    miss rate                        |     60.19% |     59.22% |     59.02%
    mpki                             |       0.00 |       0.95 |       1.00
Cache Summary                        |            |            |           
  Cache L1-I                         |            |            |           
    num cache accesses               |      15333 |      15164 |      15143
    num cache misses                 |       1337 |       1276 |       1253
    miss rate                        |      8.72% |      8.41% |      8.27%
    mpki                             |       0.02 |       9.90 |      10.39
  Cache L1-D                         |            |            |           
    num cache accesses               |      40208 |      39845 |      39780
    num cache misses                 |       2232 |       2216 |       2225
    miss rate                        |      5.55% |      5.56% |      5.59%
    mpki                             |       0.04 |      17.18 |      18.45
  Cache L2                           |            |            |           
    num cache accesses               |       3608 |       3528 |       3514
    num cache misses                 |       2744 |       2665 |       2648
    miss rate                        |     76.05% |     75.54% |     75.36%
    mpki                             |       0.05 |      20.67 |      21.96
  Cache L3                           |            |            |           
    num cache accesses               |       2783 |       2702 |       2686
    num cache misses                 |       2477 |       2411 |       2400
    miss rate                        |     89.00% |     89.23% |     89.35%
    mpki                             |       0.04 |      18.70 |      19.90
DRAM summary                         |            |            |           
  num dram accesses                  |       7288 |          0 |          0
  average dram access latency (ns)   |      66.46 |        inf |        inf
  average dram queueing delay        |      13.03 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |           
  num loads from dram                |       1130 |       1122 |       1121
  num loads from dram cache          |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0
