                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |    6425170 |    6449245 |    6728755 |    6353203 |    6383429 |    6391729 |    6397340 |    6354963 |    6390842 |    6361114 |    6378607 |    6371266
  Cycles                             |   36143814 |   36143814 |   36143814 |   36143814 |   36143814 |   36143814 |   36143814 |   36143814 |   36143814 |   36143814 |   36143814 |   36143814
  IPC                                |       0.18 |       0.18 |       0.19 |       0.18 |       0.18 |       0.18 |       0.18 |       0.18 |       0.18 |       0.18 |       0.18 |       0.18
  Time (ns)                          |   13587900 |   13587900 |   13587900 |   13587900 |   13587900 |   13587900 |   13587900 |   13587900 |   13587900 |   13587900 |   13587900 |   13587900
  Idle time (ns)                     |        141 |         79 |        -16 |        126 |         79 |        126 |         46 |        -16 |        171 |         52 |        162 |         37
  Idle time (%)                      |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     252675 |     253513 |     259678 |     250731 |     251638 |     251737 |     251881 |     250755 |     251728 |     250829 |     251560 |     251225
  num incorrect                      |       3868 |       3881 |       3961 |       3839 |       3852 |       3855 |       3856 |       3839 |       3855 |       3842 |       3851 |       3847
  misprediction rate                 |      1.51% |      1.51% |      1.50% |      1.51% |      1.51% |      1.51% |      1.51% |      1.51% |      1.51% |      1.51% |      1.51% |      1.51%
  mpki                               |       0.60 |       0.60 |       0.59 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     655406 |     657860 |     680639 |     648836 |     651719 |     652307 |     652803 |     648965 |     652246 |     649400 |     651354 |     650491
    num misses                       |         60 |         60 |         62 |         60 |         60 |         60 |         60 |         60 |         60 |         60 |         60 |         60
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    3484068 |    3499055 |    3650207 |    3440471 |    3458979 |    3463731 |    3467118 |    3441476 |    3463223 |    3445001 |    3456220 |    3451487
    num misses                       |        101 |        101 |        107 |        101 |        101 |        101 |        101 |        101 |        101 |        101 |        101 |        101
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        161 |        161 |        169 |        161 |        161 |        161 |        161 |        161 |        161 |        161 |        161 |        161
    num misses                       |        146 |        146 |        147 |        146 |        146 |        146 |        146 |        146 |        146 |        146 |        146 |        146
    miss rate                        |     90.68% |     90.68% |     86.98% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     655406 |     657860 |     680639 |     648836 |     651719 |     652307 |     652803 |     648965 |     652246 |     649400 |     651354 |     650491
    num cache misses                 |     387325 |     381613 |     344431 |     383706 |     383822 |     380288 |     381630 |     384063 |     378345 |     381666 |     384308 |     382796
    miss rate                        |     59.10% |     58.01% |     50.60% |     59.14% |     58.89% |     58.30% |     58.46% |     59.18% |     58.01% |     58.77% |     59.00% |     58.85%
    mpki                             |      60.28 |      59.17 |      51.19 |      60.40 |      60.13 |      59.50 |      59.65 |      60.44 |      59.20 |      60.00 |      60.25 |      60.08
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    3484068 |    3499055 |    3650207 |    3440471 |    3458979 |    3463731 |    3467118 |    3441476 |    3463223 |    3445001 |    3456220 |    3451487
