                                     | Core 0     | Core 1    
  Instructions                       |    6728739 |    6727046
  Cycles                             |   15258026 |   15258026
  IPC                                |       0.44 |       0.44
  Time (ns)                          |    5736100 |    5736100
  Idle time (ns)                     |        -84 |        -84
  Idle time (%)                      |      -0.0% |      -0.0%
Branch predictor stats               |            |           
  num correct                        |     259678 |     259591
  num incorrect                      |       3961 |       3911
  misprediction rate                 |      1.50% |      1.48%
  mpki                               |       0.59 |       0.58
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |     680639 |     680448
    num misses                       |         62 |         60
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01
  D-TLB                              |            |           
    num accesses                     |    3650198 |    3649370
    num misses                       |        107 |        101
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.02 |       0.02
  L2 TLB                             |            |           
    num accesses                     |        169 |        161
    num misses                       |        147 |        146
    miss rate                        |     86.98% |     90.68%
    mpki                             |       0.02 |       0.02
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |     680639 |     680448
    num cache misses                 |       1086 |       1020
    miss rate                        |      0.16% |      0.15%
    mpki                             |       0.16 |       0.15
  Cache L1-D                         |            |           
    num cache accesses               |    3650198 |    3649370
    num cache misses                 |      14995 |      14947
    miss rate                        |      0.41% |      0.41%
    mpki                             |       2.23 |       2.22
  Cache L2                           |            |           
    num cache accesses               |      16111 |      15996
    num cache misses                 |      11103 |      11015
    miss rate                        |     68.92% |     68.86%
    mpki                             |       1.65 |       1.64
  Cache L3                           |            |           
    num cache accesses               |      11499 |      11396
    num cache misses                 |       4396 |       4335
    miss rate                        |     38.23% |     38.04%
    mpki                             |       0.65 |       0.64
DRAM summary                         |            |           
  num dram accesses                  |       8731 |          0
  average dram access latency (ns)   |      60.65 |        inf
  average dram queueing delay        |       7.23 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |       1269 |       1261
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
