                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
    miss rate                        |      48.65% |      50.29% |      51.21% |      50.54% |      50.65% |      50.90% |      50.68% |      50.75% |      50.83% |      50.73% |      50.75% |      50.72% |      50.69% |      50.75% |      50.68% |      51.80%
    mpki                             |      582.76 |      602.32 |      613.34 |      605.31 |      606.67 |      609.65 |      607.02 |      607.86 |      608.80 |      607.68 |      607.85 |      607.47 |      607.21 |      607.82 |      606.99 |      619.53
  Cache L2                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    29215828 |    28686869 |    28504989 |    28686784 |    28633553 |    28582628 |    28643712 |    28630757 |    28609398 |    28632632 |    28622816 |    28618941 |    28634604 |    28603552 |    28630113 |    16374727
    num cache misses                 |    29213908 |    28684781 |    28502795 |    28684806 |    28631475 |    28580319 |    28641338 |    28628726 |    28607272 |    28630612 |    28620523 |    28616922 |    28632310 |    28601581 |    28628019 |    16372596
    miss rate                        |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99%
    mpki                             |      582.86 |      602.43 |      613.44 |      605.42 |      606.74 |      609.73 |      607.12 |      607.97 |      608.90 |      607.79 |      607.93 |      607.54 |      607.30 |      607.93 |      607.09 |      619.71
  Cache L3                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    29213950 |    28684816 |    28502829 |    28684843 |    28631516 |    28580357 |    28641375 |    28628761 |    28607306 |    28630649 |    28620562 |    28616961 |    28632346 |    28601615 |    28628056 |    16372630
    num cache misses                 |        2835 |        2750 |        2750 |        2755 |        2719 |        2717 |        2739 |        2752 |        2757 |        2751 |        2729 |        2697 |        2728 |        2749 |        2749 |        2743
    miss rate                        |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.02%
    mpki                             |        0.06 |        0.06 |        0.06 |        0.06 |        0.06 |        0.06 |        0.06 |        0.06 |        0.06 |        0.06 |        0.06 |        0.06 |        0.06 |        0.06 |        0.06 |        0.10
DRAM summary                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num dram accesses                  |       44700 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      102.06 |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |       48.63 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num loads from dram                |        1440 |        1441 |        1425 |        1435 |        1392 |        1401 |        1424 |        1439 |        1437 |        1434 |        1401 |        1373 |        1412 |        1434 |        1430 |        1430
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
