                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   75644243 |   78256678 |   75906767 |   77816407 |   77821833 |   77122870
  Cycles                             |  152371450 |  152371450 |  152371450 |  152371450 |  152371450 |  152371450
  IPC                                |       0.50 |       0.51 |       0.50 |       0.51 |       0.51 |       0.51
  Time (ns)                          |   57282500 |   57282500 |   57282500 |   57282500 |   57282500 |   57282500
  Idle time (ns)                     |        -30 |        -42 |        -36 |        -59 |        -36 |         -9
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    2100378 |    2171907 |    2107564 |    2159833 |    2159982 |    2140851
  num incorrect                      |        981 |       1022 |        981 |        981 |        981 |        981
  misprediction rate                 |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |    8241195 |    8525013 |    8269714 |    8477164 |    8477755 |    8401824
    num misses                       |         40 |         43 |         40 |         40 |         40 |         40
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |   34854472 |   36055649 |   34975178 |   35853215 |   35855711 |   35534334
    num misses                       |         69 |         71 |         69 |         69 |         69 |         69
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |        109 |        114 |        109 |        109 |        109 |        109
    num misses                       |        109 |        112 |        109 |        109 |        109 |        109
    miss rate                        |    100.00% |     98.25% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |    8241195 |    8525013 |    8269714 |    8477164 |    8477755 |    8401824
    num cache misses                 |    6011223 |    6013187 |    6010573 |    6016152 |    6007185 |    6007713
    miss rate                        |     72.94% |     70.54% |     72.68% |     70.97% |     70.86% |     71.50%
    mpki                             |      79.47 |      76.84 |      79.18 |      77.31 |      77.19 |      77.90
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |   34854472 |   36055649 |   34975178 |   35853215 |   35855711 |   35534334
    num cache misses                 |    2128309 |    2212313 |    2135580 |    2197989 |    2199167 |    2174292
    miss rate                        |      6.11% |      6.14% |      6.11% |      6.13% |      6.13% |      6.12%
    mpki                             |      28.14 |      28.27 |      28.13 |      28.25 |      28.26 |      28.19
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |    8139547 |    8225520 |    8146167 |    8214155 |    8206366 |    8182019
    num cache misses                 |     200687 |     224622 |     197164 |     221928 |     214386 |     206776
    miss rate                        |      2.47% |      2.73% |      2.42% |      2.70% |      2.61% |      2.53%
    mpki                             |       2.65 |       2.87 |       2.60 |       2.85 |       2.75 |       2.68
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |     200703 |     224644 |     197180 |     221943 |     214402 |     206792
    num cache misses                 |       3742 |       3826 |       3746 |       3771 |       3771 |       3762
    miss rate                        |      1.86% |      1.70% |      1.90% |      1.70% |      1.76% |      1.82%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      22618 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     107.33 |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      53.90 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |       1126 |       1185 |       1130 |       1158 |       1158 |       1150
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0
