                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |    47571268 |    50121706 |    49840222 |    49712678 |    49811108 |    49797533 |    49456286 |    49832825 |    49792097 |    49757048 |    49769103 |    49786412 |    49786877 |    49782532 |    49775978 |    49775765
  Cycles                             |  1626353526 |  1626353526 |  1626353526 |  1626353526 |  1626353526 |  1626353526 |  1626353526 |  1626353526 |  1626353526 |  1626353526 |  1626353526 |  1626353526 |  1626353526 |  1626353526 |  1626353526 |  1626353526
  IPC                                |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03
  Time (ns)                          |   611411100 |   611411100 |   611411100 |   611411100 |   611411100 |   611411100 |   611411100 |   611411100 |   611411100 |   611411100 |   611411100 |   611411100 |   611411100 |   611411100 |   611411100 |   611411100
  Idle time (ns)                     |         204 |         -72 |         198 |         -72 |          78 |         311 |         157 |         147 |         147 |          78 |         157 |         311 |         483 |         449 |         408 |         527
  Idle time (%)                      |        0.0% |       -0.0% |        0.0% |       -0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |     9512016 |    10022009 |     9965806 |     9940297 |     9959984 |     9957268 |     9889019 |     9964327 |     9956181 |     9949172 |     9951583 |     9955044 |     9955137 |     9954268 |     9952958 |     9952915
  num incorrect                      |        1441 |        1517 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441
  misprediction rate                 |       0.02% |       0.02% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01%
  mpki                               |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |       15165 |       15334 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165
