                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9    
  Instructions                       |   40121695 |   40023623 |   39980992 |   39935428 |   39910150 |   39896692 |   39838028 |   39824612 |   39774525 |   39721864
  Cycles                             |  133620046 |  133620046 |  133620046 |  133620046 |  133620046 |  133620046 |  133620046 |  133620046 |  133620046 |  133620046
  IPC                                |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30
  Time (ns)                          |   50233100 |   50233100 |   50233100 |   50233100 |   50233100 |   50233100 |   50233100 |   50233100 |   50233100 |   50233100
  Idle time (ns)                     |        -31 |          5 |          5 |        101 |        -31 |         81 |         52 |         27 |         15 |        -31
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10022006 |    9997634 |    9986976 |    9975586 |    9969266 |    9965902 |    9951235 |    9947881 |    9935360 |    9922182
  num incorrect                      |       1519 |       1442 |       1442 |       1442 |       1442 |       1442 |       1442 |       1442 |       1442 |       1442
  misprediction rate                 |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   20015334 |   19966615 |   19945299 |   19922518 |   19909878 |   19903151 |   19873817 |   19867110 |   19842067 |   19815711
    num misses                       |         52 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      40224 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847
    num misses                       |         74 |         73 |         73 |         73 |         73 |         73 |         73 |         73 |         73 |         73
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        126 |        121 |        121 |        121 |        121 |        121 |        121 |        121 |        121 |        121
    num misses                       |        122 |        117 |        117 |        117 |        117 |        117 |        117 |        117 |        117 |        117
    miss rate                        |     96.83% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69% |     96.69%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   20015334 |   19966615 |   19945299 |   19922518 |   19909878 |   19903151 |   19873817 |   19867110 |   19842067 |   19815711
    num cache misses                 |     679512 |     667904 |     662162 |     657902 |     655715 |     652761 |     652223 |     650982 |     651045 |     650568
    miss rate                        |      3.39% |      3.35% |      3.32% |      3.30% |      3.29% |      3.28% |      3.28% |      3.28% |      3.28% |      3.28%
    mpki                             |      16.94 |      16.69 |      16.56 |      16.47 |      16.43 |      16.36 |      16.37 |      16.35 |      16.37 |      16.38
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      40224 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847 |      39847
    num cache misses                 |       6803 |       6523 |       6654 |       6597 |       6798 |       6254 |       6578 |       6352 |       6696 |       6827
    miss rate                        |     16.91% |     16.37% |     16.70% |     16.56% |     17.06% |     15.70% |     16.51% |     15.94% |     16.80% |     17.13%
    mpki                             |       0.17 |       0.16 |       0.17 |       0.17 |       0.17 |       0.16 |       0.17 |       0.16 |       0.17 |       0.17
  Cache L2                           |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     686346 |     674457 |     668846 |     664527 |     662543 |     659046 |     658831 |     657366 |     657771 |     657425
    num cache misses                 |     624967 |     645801 |     653655 |     656060 |     656080 |     655150 |     654798 |     653723 |     653325 |     652567
    miss rate                        |     91.06% |     95.75% |     97.73% |     98.73% |     99.02% |     99.41% |     99.39% |     99.45% |     99.32% |     99.26%
    mpki                             |      15.58 |      16.14 |      16.35 |      16.43 |      16.44 |      16.42 |      16.44 |      16.42 |      16.43 |      16.43
  Cache L3                           |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     625000 |     645833 |     653685 |     656094 |     656112 |     655183 |     654831 |     653757 |     653355 |     652601
    num cache misses                 |       2482 |       2415 |       2415 |       2415 |       2415 |       2414 |       2415 |       2414 |       2415 |       2415
    miss rate                        |      0.40% |      0.37% |      0.37% |      0.37% |      0.37% |      0.37% |      0.37% |      0.37% |      0.37% |      0.37%
    mpki                             |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
DRAM summary                         |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      24215 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      82.69 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      29.26 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |       1159 |       1158 |       1157 |       1158 |       1155 |       1155 |       1154 |       1158 |       1158 |       1161
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
