                                     | Core 0     | Core 1    
  Instructions                       |   77804226 |   78256661
  Cycles                             |   63513884 |   63513884
  IPC                                |       1.22 |       1.23
  Time (ns)                          |   23877400 |   23877400
  Idle time (ns)                     |        -66 |        -66
  Idle time (%)                      |      -0.0% |      -0.0%
Branch predictor stats               |            |           
  num correct                        |    2159500 |    2171907
  num incorrect                      |        981 |       1022
  misprediction rate                 |      0.05% |      0.05%
  mpki                               |       0.01 |       0.01
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    8475843 |    8525013
    num misses                       |         40 |         43
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |   35847616 |   36055592
    num misses                       |         69 |         71
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  L2 TLB                             |            |           
    num accesses                     |        109 |        114
    num misses                       |        109 |        112
    miss rate                        |    100.00% |     98.25%
    mpki                             |       0.00 |       0.00
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    8475843 |    8525013
    num cache misses                 |        498 |        544
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01
  Cache L1-D                         |            |           
    num cache accesses               |   35847616 |   36055592
    num cache misses                 |    2125634 |    2137842
    miss rate                        |      5.93% |      5.93%
    mpki                             |      27.32 |      27.32
  Cache L2                           |            |           
    num cache accesses               |    2126149 |    2138407
    num cache misses                 |       4368 |       4463
    miss rate                        |      0.21% |      0.21%
    mpki                             |       0.06 |       0.06
  Cache L3                           |            |           
    num cache accesses               |       4385 |       4485
    num cache misses                 |       3771 |       3819
    miss rate                        |     86.00% |     85.15%
    mpki                             |       0.05 |       0.05
DRAM summary                         |            |           
  num dram accesses                  |       7590 |          0
  average dram access latency (ns)   |      59.06 |        inf
  average dram queueing delay        |       5.63 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |        236 |        252
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
