                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8    
  Instructions                       |   60114172 |   60105975 |   60121610 |   60121684 |   60115366 |   60120976 |   60121303 |   60106239 |   60112155
  Cycles                             |  180740350 |  180740350 |  180740350 |  180740350 |  180740350 |  180740350 |  180740350 |  180740350 |  180740350
  IPC                                |       0.33 |       0.33 |       0.33 |       0.33 |       0.33 |       0.33 |       0.33 |       0.33 |       0.33
  Time (ns)                          |   67947500 |   67947500 |   67947500 |   67947500 |   67947500 |   67947500 |   67947500 |   67947500 |   67947500
  Idle time (ns)                     |         30 |         10 |        339 |        -39 |        -10 |        410 |         87 |        -39 |        -10
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |           
  num correct                        |   10020832 |   10019466 |   10022011 |   10022011 |   10021031 |   10021937 |   10021974 |   10019510 |   10020496
  num incorrect                      |       1437 |       1437 |       1515 |       1515 |       1437 |       1458 |       1479 |       1437 |       1437
  misprediction rate                 |      0.01% |      0.01% |      0.02% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.03 |       0.03 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |      15164 |      15164 |      15332 |      15333 |      15164 |      15204 |      15269 |      15164 |      15164
    num misses                       |         48 |         48 |         52 |         52 |         48 |         49 |         50 |         48 |         48
    miss rate                        |      0.32% |      0.32% |      0.34% |      0.34% |      0.32% |      0.32% |      0.33% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |      39845 |      39845 |      40245 |      40238 |      39845 |      39962 |      40103 |      39845 |      39845
    num misses                       |         72 |         72 |         73 |         73 |         72 |         72 |         73 |         72 |         72
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |           
