                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4    
  Instructions                       |      90540 |      90444 |      90280 |      90250 |      90130
  Cycles                             |     263606 |     263606 |     263606 |     263606 |     263606
  IPC                                |       0.34 |       0.34 |       0.34 |       0.34 |       0.34
  Time (ns)                          |      99100 |      99100 |      99100 |      99100 |      99100
  Idle time (ns)                     |        -83 |        -35 |        -35 |        -83 |        -56
  Idle time (%)                      |      -0.1% |      -0.0% |      -0.0% |      -0.1% |      -0.1%
Branch predictor stats               |            |            |            |            |           
  num correct                        |      19646 |      19637 |      19618 |      19614 |      19596
  num incorrect                      |       1085 |       1074 |       1057 |       1054 |       1046
  misprediction rate                 |      5.23% |      5.19% |      5.11% |      5.10% |      5.07%
  mpki                               |      11.98 |      11.87 |      11.71 |      11.68 |      11.61
TLB Summary                          |            |            |            |            |           
  I-TLB                              |            |            |            |            |           
    num accesses                     |       4859 |       4847 |       4817 |       4808 |       4798
    num misses                       |         45 |         44 |         42 |         42 |         42
    miss rate                        |      0.93% |      0.91% |      0.87% |      0.87% |      0.88%
    mpki                             |       0.50 |       0.49 |       0.47 |       0.47 |       0.47
  D-TLB                              |            |            |            |            |           
    num accesses                     |      69702 |      69690 |      69628 |      69607 |      69485
    num misses                       |         21 |         21 |         21 |         21 |         21
    miss rate                        |      0.03% |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.23 |       0.23 |       0.23 |       0.23 |       0.23
  L2 TLB                             |            |            |            |            |           
    num accesses                     |         66 |         65 |         63 |         63 |         63
    num misses                       |         66 |         65 |         63 |         63 |         63
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.73 |       0.72 |       0.70 |       0.70 |       0.70
Cache Summary                        |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |           
    num cache accesses               |       4859 |       4847 |       4817 |       4808 |       4798
    num cache misses                 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |           
    num cache accesses               |      69702 |      69690 |      69628 |      69607 |      69485
    num cache misses                 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L2                           |            |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |           
  num dram accesses                  |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0
