                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10   
  Instructions                       |      90579 |      90356 |      90352 |      90230 |      90213 |      90438 |      90309 |      90249 |      90164 |      90214 |      90175
  Cycles                             |     578550 |     578550 |     578550 |     578550 |     578550 |     578550 |     578550 |     578550 |     578550 |     578550 |     578550
  IPC                                |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16
  Time (ns)                          |     217500 |     217500 |     217500 |     217500 |     217500 |     217500 |     217500 |     217500 |     217500 |     217500 |     217500
  Idle time (ns)                     |        -77 |         60 |         81 |        -45 |        -77 |         23 |         46 |         58 |         46 |         23 |         -1
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      19646 |      19624 |      19624 |      19613 |      19611 |      19637 |      19622 |      19614 |      19601 |      19612 |      19604
  num incorrect                      |       1085 |       1069 |       1067 |       1046 |       1046 |       1073 |       1059 |       1053 |       1046 |       1046 |       1046
  misprediction rate                 |      5.23% |      5.17% |      5.16% |      5.06% |      5.06% |      5.18% |      5.12% |      5.10% |      5.07% |      5.06% |      5.07%
  mpki                               |      11.98 |      11.83 |      11.81 |      11.59 |      11.59 |      11.86 |      11.73 |      11.67 |      11.60 |      11.59 |      11.60
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       4859 |       4832 |       4832 |       4801 |       4798 |       4847 |       4822 |       4805 |       4798 |       4798 |       4798
    num misses                       |         45 |         43 |         43 |         42 |         42 |         44 |         42 |         42 |         42 |         42 |         42
    miss rate                        |      0.93% |      0.89% |      0.89% |      0.87% |      0.88% |      0.91% |      0.87% |      0.87% |      0.88% |      0.88% |      0.88%
    mpki                             |       0.50 |       0.48 |       0.48 |       0.47 |       0.47 |       0.49 |       0.47 |       0.47 |       0.47 |       0.47 |       0.47
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |           
