                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   28759186 |   28718235 |   28689524 |   28668470 |   28665780 |   28759917
  Cycles                             |   92980034 |   92980034 |   92980034 |   92980034 |   92980034 |   92980034
  IPC                                |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31
  Time (ns)                          |   34954900 |   34954900 |   34954900 |   34954900 |   34954900 |   34954900
  Idle time (ns)                     |        -18 |         11 |        -96 |        -18 |         12 |        -96
  Idle time (%)                      |      -0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    1059655 |    1058853 |    1058294 |    1057884 |    1057832 |    1059719
  num incorrect                      |       7956 |       7955 |       7955 |       7955 |       7955 |       8006
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |    2876211 |    2873046 |    2870830 |    2869205 |    2868996 |    2876325
    num misses                       |         61 |         61 |         61 |         61 |         61 |         63
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |   15777797 |   15756514 |   15741583 |   15730655 |   15729256 |   15778122
    num misses                       |       6331 |       6236 |       6183 |       6133 |       6127 |       6344
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.22 |       0.22 |       0.22 |       0.21 |       0.21 |       0.22
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |       6392 |       6297 |       6244 |       6194 |       6188 |       6407
    num misses                       |        321 |        318 |        316 |        316 |        316 |        333
    miss rate                        |      5.02% |      5.05% |      5.06% |      5.10% |      5.11% |      5.20%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |    2876211 |    2873046 |    2870830 |    2869205 |    2868996 |    2876325
    num cache misses                 |     886005 |     890487 |     889487 |     893979 |     876325 |     868553
    miss rate                        |     30.80% |     30.99% |     30.98% |     31.16% |     30.54% |     30.20%
    mpki                             |      30.81 |      31.01 |      31.00 |      31.18 |      30.57 |      30.20
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |   15777797 |   15756514 |   15741583 |   15730655 |   15729256 |   15778122
    num cache misses                 |    2370074 |    2375974 |    2341283 |    2356105 |    2302558 |    2317250
    miss rate                        |     15.02% |     15.08% |     14.87% |     14.98% |     14.64% |     14.69%
    mpki                             |      82.41 |      82.73 |      81.61 |      82.18 |      80.32 |      80.57
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |    3256107 |    3266516 |    3230826 |    3250139 |    3178937 |    3185831
    num cache misses                 |     107459 |     108205 |     107929 |     107260 |     106912 |     108303
    miss rate                        |      3.30% |      3.31% |      3.34% |      3.30% |      3.36% |      3.40%
    mpki                             |       3.74 |       3.77 |       3.76 |       3.74 |       3.73 |       3.77
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |     107505 |     108270 |     107995 |     107324 |     106975 |     108343
    num cache misses                 |      14642 |      14607 |      14586 |      14582 |      14581 |      14437
    miss rate                        |     13.62% |     13.49% |     13.51% |     13.59% |     13.63% |     13.33%
    mpki                             |       0.51 |       0.51 |       0.51 |       0.51 |       0.51 |       0.50
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      91852 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      56.99 |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       3.56 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      2.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |       7554 |       7609 |       7535 |       7561 |       7561 |       7310
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0
