                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8    
  Instructions                       |     118860 |     119954 |     120591 |     120427 |     119832 |     121683 |     117530 |     120578 |     117946
  Cycles                             |     767410 |     767410 |     767410 |     767410 |     767410 |     767410 |     767410 |     767410 |     767410
  IPC                                |       0.15 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.15 |       0.16 |       0.15
  Time (ns)                          |     288500 |     288500 |     288500 |     288500 |     288500 |     288500 |     288500 |     288500 |     288500
  Idle time (ns)                     |        -90 |        -90 |        -41 |        322 |       -114 |       -114 |        362 |        245 |        245
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |       0.1% |      -0.0% |      -0.0% |       0.1% |       0.1% |       0.1%
Branch predictor stats               |            |            |            |            |            |            |            |            |           
  num correct                        |      21576 |      21818 |      21910 |      21901 |      21782 |      22012 |      21409 |      21908 |      21457
  num incorrect                      |       1369 |       1400 |       1435 |       1425 |       1399 |       1514 |       1355 |       1435 |       1358
  misprediction rate                 |      5.97% |      6.03% |      6.15% |      6.11% |      6.04% |      6.44% |      5.95% |      6.15% |      5.95%
  mpki                               |      11.52 |      11.67 |      11.90 |      11.83 |      11.67 |      12.44 |      11.53 |      11.90 |      11.51
TLB Summary                          |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |      14998 |      15068 |      15145 |      15119 |      15065 |      15330 |      14873 |      15142 |      14906
    num misses                       |         45 |         45 |         47 |         45 |         45 |         52 |         42 |         47 |         42
    miss rate                        |      0.30% |      0.30% |      0.31% |      0.30% |      0.30% |      0.34% |      0.28% |      0.31% |      0.28%
    mpki                             |       0.38 |       0.38 |       0.39 |       0.37 |       0.38 |       0.43 |       0.36 |       0.39 |       0.36
  D-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |      39497 |      39656 |      39781 |      39694 |      39645 |      40230 |      39020 |      39772 |      39150
    num misses                       |         76 |         76 |         76 |         76 |         76 |         77 |         73 |         76 |         74
    miss rate                        |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19%
    mpki                             |       0.64 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.62 |       0.63 |       0.63
  L2 TLB                             |            |            |            |            |            |            |            |            |           
    num accesses                     |        121 |        121 |        123 |        121 |        121 |        129 |        115 |        123 |        116
    num misses                       |        115 |        115 |        117 |        115 |        115 |        123 |        111 |        117 |        111
    miss rate                        |     95.04% |     95.04% |     95.12% |     95.04% |     95.04% |     95.35% |     96.52% |     95.12% |     95.69%
    mpki                             |       0.97 |       0.96 |       0.97 |       0.95 |       0.96 |       1.01 |       0.94 |       0.97 |       0.94
Cache Summary                        |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |      14998 |      15068 |      15145 |      15119 |      15065 |      15330 |      14873 |      15142 |      14906
    num cache misses                 |       6207 |       6163 |       6426 |       6312 |       6152 |       5106 |       5587 |       5975 |       6007
    miss rate                        |     41.39% |     40.90% |     42.43% |     41.75% |     40.84% |     33.31% |     37.56% |     39.46% |     40.30%
    mpki                             |      52.22 |      51.38 |      53.29 |      52.41 |      51.34 |      41.96 |      47.54 |      49.55 |      50.93
  Cache L1-D                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |      39497 |      39656 |      39781 |      39694 |      39645 |      40230 |      39020 |      39772 |      39150
    num cache misses                 |       6043 |       6139 |       6234 |       6155 |       6066 |       5472 |       5755 |       6050 |       5992
    miss rate                        |     15.30% |     15.48% |     15.67% |     15.51% |     15.30% |     13.60% |     14.75% |     15.21% |     15.31%
    mpki                             |      50.84 |      51.18 |      51.70 |      51.11 |      50.62 |      44.97 |      48.97 |      50.17 |      50.80
  Cache L2                           |            |            |            |            |            |            |            |            |           
    num cache accesses               |      12284 |      12335 |      12694 |      12500 |      12249 |      10616 |      11377 |      12059 |      12034
    num cache misses                 |       6972 |       7172 |       7109 |       7235 |       7355 |       6387 |       7094 |       6804 |       7303
    miss rate                        |     56.76% |     58.14% |     56.00% |     57.88% |     60.05% |     60.16% |     62.35% |     56.42% |     60.69%
    mpki                             |      58.66 |      59.79 |      58.95 |      60.08 |      61.38 |      52.49 |      60.36 |      56.43 |      61.92
  Cache L3                           |            |            |            |            |            |            |            |            |           
    num cache accesses               |       7008 |       7207 |       7143 |       7268 |       7387 |       6425 |       7131 |       6838 |       7340
    num cache misses                 |       2425 |       2427 |       2453 |       2441 |       2431 |       2538 |       2402 |       2447 |       2410
    miss rate                        |     34.60% |     33.68% |     34.34% |     33.59% |     32.91% |     39.50% |     33.68% |     35.79% |     32.83%
    mpki                             |      20.40 |      20.23 |      20.34 |      20.27 |      20.29 |      20.86 |      20.44 |      20.29 |      20.43
DRAM summary                         |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      22096 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      85.21 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      31.78 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     64.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |           
  num loads from dram                |       1196 |       1194 |       1194 |       1195 |       1198 |       1200 |       1197 |       1188 |       1203
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
