                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4    
  Instructions                       |   28759905 |   28647970 |   28633699 |   28532253 |   28569237
  Cycles                             |   80222940 |   80222940 |   80222940 |   80222940 |   80222940
  IPC                                |       0.36 |       0.36 |       0.36 |       0.36 |       0.36
  Time (ns)                          |   30159000 |   30159000 |   30159000 |   30159000 |   30159000
  Idle time (ns)                     |         -5 |         50 |         -5 |         64 |        109
  Idle time (%)                      |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |           
  num correct                        |    1059719 |    1057485 |    1057207 |    1055228 |    1055950
  num incorrect                      |       8006 |       7955 |       7955 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |           
  I-TLB                              |            |            |            |            |           
    num accesses                     |    2876325 |    2867623 |    2866521 |    2858685 |    2861542
    num misses                       |         63 |         61 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |           
    num accesses                     |   15778118 |   15720004 |   15712572 |   15659860 |   15679079
    num misses                       |       6344 |       6087 |       6055 |       5828 |       5916
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.22 |       0.21 |       0.21 |       0.20 |       0.21
  L2 TLB                             |            |            |            |            |           
    num accesses                     |       6407 |       6148 |       6116 |       5889 |       5977
    num misses                       |        333 |        316 |        316 |        316 |        316
    miss rate                        |      5.20% |      5.14% |      5.17% |      5.37% |      5.29%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |           
    num cache accesses               |    2876325 |    2867623 |    2866521 |    2858685 |    2861542
    num cache misses                 |     530938 |     551132 |     562811 |     565325 |     567917
    miss rate                        |     18.46% |     19.22% |     19.63% |     19.78% |     19.85%
    mpki                             |      18.46 |      19.24 |      19.66 |      19.81 |      19.88
  Cache L1-D                         |            |            |            |            |           
    num cache accesses               |   15778118 |   15720004 |   15712572 |   15659860 |   15679079
    num cache misses                 |     123530 |     123547 |     123295 |     121043 |     122165
    miss rate                        |      0.78% |      0.79% |      0.78% |      0.77% |      0.78%
    mpki                             |       4.30 |       4.31 |       4.31 |       4.24 |       4.28
  Cache L2                           |            |            |            |            |           
    num cache accesses               |     654491 |     674700 |     686127 |     686390 |     690104
    num cache misses                 |      97858 |      96760 |      96510 |      95604 |      95892
    miss rate                        |     14.95% |     14.34% |     14.07% |     13.93% |     13.90%
    mpki                             |       3.40 |       3.38 |       3.37 |       3.35 |       3.36
  Cache L3                           |            |            |            |            |           
    num cache accesses               |      97899 |      96793 |      96555 |      95639 |      95927
    num cache misses                 |      13894 |      13828 |      13829 |      13831 |      13831
    miss rate                        |     14.19% |     14.29% |     14.32% |     14.46% |     14.42%
    mpki                             |       0.48 |       0.48 |       0.48 |       0.48 |       0.48
DRAM summary                         |            |            |            |            |           
  num dram accesses                  |      69427 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      56.99 |        inf |        inf |        inf |        inf
  average dram queueing delay        |       3.56 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |           
  num loads from dram                |       6462 |       6509 |       6555 |       6609 |       6578
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0
