                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8    
  Instructions                       |   40121435 |   40120971 |   40121367 |   40120845 |   40121631 |   40121188 |   40121215 |   40121115 |   40120904
  Cycles                             |  120318982 |  120318982 |  120318982 |  120318982 |  120318982 |  120318982 |  120318982 |  120318982 |  120318982
  IPC                                |       0.33 |       0.33 |       0.33 |       0.33 |       0.33 |       0.33 |       0.33 |       0.33 |       0.33
  Time (ns)                          |   45232700 |   45232700 |   45232700 |   45232700 |   45232700 |   45232700 |   45232700 |   45232700 |   45232700
  Idle time (ns)                     |        -40 |        -40 |         13 |         47 |        -74 |        -12 |        -62 |        -62 |         13
  Idle time (%)                      |      -0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |           
  num correct                        |   10021985 |   10021932 |   10021980 |   10021921 |   10022008 |   10021958 |   10021962 |   10021951 |   10021927
  num incorrect                      |       1496 |       1462 |       1488 |       1452 |       1517 |       1473 |       1475 |       1470 |       1455
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |      15295 |      15205 |      15283 |      15185 |      15334 |      15250 |      15253 |      15236 |      15193
    num misses                       |         51 |         49 |         50 |         49 |         52 |         49 |         49 |         49 |         49
    miss rate                        |      0.33% |      0.32% |      0.33% |      0.32% |      0.34% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |      40149 |      39954 |      40128 |      39907 |      40207 |      40044 |      40052 |      40003 |      39930
    num misses                       |         76 |         75 |         76 |         75 |         76 |         75 |         76 |         75 |         75
    miss rate                        |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |           
    num accesses                     |        127 |        124 |        126 |        124 |        128 |        124 |        125 |        124 |        124
    num misses                       |        120 |        117 |        119 |        117 |        121 |        117 |        118 |        117 |        117
    miss rate                        |     94.49% |     94.35% |     94.44% |     94.35% |     94.53% |     94.35% |     94.40% |     94.35% |     94.35%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15295 |      15205 |      15283 |      15185 |      15334 |      15250 |      15253 |      15236 |      15193
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |      40149 |      39954 |      40128 |      39907 |      40207 |      40044 |      40052 |      40003 |      39930
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
