                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    6728735 |    6722509 |    6692869 |    6717349
  Cycles                             |   17401454 |   17401454 |   17401454 |   17401454
  IPC                                |       0.39 |       0.39 |       0.38 |       0.39
  Time (ns)                          |    6541900 |    6541900 |    6541900 |    6541900
  Idle time (ns)                     |         80 |         -1 |          5 |        -68
  Idle time (%)                      |       0.0% |      -0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |     259678 |     259502 |     258916 |     259399
  num incorrect                      |       3961 |       3911 |       3911 |       3911
  misprediction rate                 |      1.50% |      1.48% |      1.49% |      1.49%
  mpki                               |       0.59 |       0.58 |       0.58 |       0.58
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |     680639 |     680097 |     677799 |     679696
    num misses                       |         62 |         60 |         60 |         60
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |           
    num accesses                     |    3650200 |    3647017 |    3631597 |    3644323
    num misses                       |        107 |        101 |        101 |        101
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02
  L2 TLB                             |            |            |            |           
    num accesses                     |        169 |        161 |        161 |        161
    num misses                       |        147 |        146 |        146 |        146
    miss rate                        |     86.98% |     90.68% |     90.68% |     90.68%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     680639 |     680097 |     677799 |     679696
    num cache misses                 |      35315 |      34574 |      35169 |      35620
    miss rate                        |      5.19% |      5.08% |      5.19% |      5.24%
    mpki                             |       5.25 |       5.14 |       5.25 |       5.30
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    3650200 |    3647017 |    3631597 |    3644323
    num cache misses                 |      16499 |      16413 |      16111 |      16303
    miss rate                        |      0.45% |      0.45% |      0.44% |      0.45%
    mpki                             |       2.45 |       2.44 |       2.41 |       2.43
  Cache L2                           |            |            |            |           
    num cache accesses               |      51839 |      51009 |      51302 |      51946
    num cache misses                 |      15865 |      15739 |      15449 |      15584
    miss rate                        |     30.60% |     30.86% |     30.11% |     30.00%
    mpki                             |       2.36 |       2.34 |       2.31 |       2.32
  Cache L3                           |            |            |            |           
    num cache accesses               |      15925 |      15794 |      15499 |      15633
    num cache misses                 |       4397 |       4335 |       4335 |       4335
    miss rate                        |     27.61% |     27.45% |     27.97% |     27.73%
    mpki                             |       0.65 |       0.64 |       0.65 |       0.65
DRAM summary                         |            |            |            |           
  num dram accesses                  |      17402 |          0 |          0 |          0
  average dram access latency (ns)   |      62.46 |        inf |        inf |        inf
  average dram queueing delay        |       9.03 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      2.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       1347 |       1333 |       1332 |       1334
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
