                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  Instructions                       |   40120761 |   40120624 |   40121279 |   40121294 |   40121245 |   40121625 |   40121225 |   40121215 |   40121097 |   40120965 |   40120924 |   40120936 |   40120873 |   40120850 |   40120856
  Cycles                             |  200531548 |  200531548 |  200531548 |  200531548 |  200531548 |  200531548 |  200531548 |  200531548 |  200531548 |  200531548 |  200531548 |  200531548 |  200531548 |  200531548 |  200531548
  IPC                                |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20
  Time (ns)                          |   75387800 |   75387800 |   75387800 |   75387800 |   75387800 |   75387800 |   75387800 |   75387800 |   75387800 |   75387800 |   75387800 |   75387800 |   75387800 |   75387800 |   75387800
  Idle time (ns)                     |          7 |        -56 |         47 |         22 |          7 |        -56 |         22 |        -27 |         81 |         64 |         47 |        -33 |        -17 |        -17 |        -27
  Idle time (%)                      |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10021912 |   10021897 |   10021969 |   10021969 |   10021965 |   10022008 |   10021964 |   10021962 |   10021948 |   10021930 |   10021928 |   10021928 |   10021927 |   10021922 |   10021924
  num incorrect                      |       1450 |       1441 |       1479 |       1481 |       1478 |       1517 |       1475 |       1475 |       1470 |       1462 |       1456 |       1456 |       1453 |       1452 |       1452
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15179 |      15165 |      15266 |      15268 |      15259 |      15334 |      15255 |      15253 |      15234 |      15204 |      15195 |      15196 |      15187 |      15185 |      15185
    num misses                       |         49 |         48 |         50 |         50 |         50 |         52 |         50 |         49 |         49 |         49 |         49 |         49 |         49 |         49 |         49
    miss rate                        |      0.32% |      0.32% |      0.33% |      0.33% |      0.33% |      0.34% |      0.33% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      39867 |      39839 |      40086 |      40094 |      40065 |      40202 |      40054 |      40049 |      39995 |      39956 |      39933 |      39939 |      39916 |      39905 |      39908
