                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10   
  Instructions                       |   78244761 |   78256622 |   78251309 |   78234482 |   78246754 |   78249210 |   78256455 |   78256678 |   78256604 |   78244357 |   78243453
  Cycles                             |   31853766 |   31853766 |   31853766 |   31853766 |   31853766 |   31853766 |   31853766 |   31853766 |   31853766 |   31853766 |   31853766
  IPC                                |       2.46 |       2.46 |       2.46 |       2.46 |       2.46 |       2.46 |       2.46 |       2.46 |       2.46 |       2.46 |       2.46
  Time (ns)                          |   11975100 |   11975100 |   11975100 |   11975100 |   11975100 |   11975100 |   11975100 |   11975100 |   11975100 |   11975100 |   11975100
  Idle time (ns)                     |         80 |        -28 |         71 |         79 |         74 |         76 |         -4 |         28 |        -62 |         79 |         78
  Idle time (%)                      |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    2171556 |    2171901 |    2171735 |    2171275 |    2171610 |    2171678 |    2171882 |    2171907 |    2171899 |    2171545 |    2171521
  num incorrect                      |        981 |       1016 |        981 |        981 |        981 |        981 |        996 |       1022 |       1013 |        981 |        981
  misprediction rate                 |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    8523696 |    8525006 |    8524407 |    8522580 |    8523912 |    8524180 |    8524975 |    8525013 |    8525004 |    8523652 |    8523556
    num misses                       |         40 |         42 |         40 |         40 |         40 |         40 |         40 |         43 |         42 |         40 |         40
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   36050168 |   36055625 |   36053178 |   36045440 |   36051083 |   36052213 |   36055544 |   36055649 |   36055615 |   36049982 |   36049567
    num misses                       |         69 |         71 |         69 |         69 |         69 |         69 |         71 |         71 |         71 |         69 |         69
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        109 |        113 |        109 |        109 |        109 |        109 |        111 |        114 |        113 |        109 |        109
    num misses                       |        109 |        111 |        109 |        109 |        109 |        109 |        109 |        112 |        111 |        109 |        109
    miss rate                        |    100.00% |     98.23% |    100.00% |    100.00% |    100.00% |    100.00% |     98.20% |     98.25% |     98.23% |    100.00% |    100.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    8523696 |    8525006 |    8524407 |    8522580 |    8523912 |    8524180 |    8524975 |    8525013 |    8525004 |    8523652 |    8523556
    num cache misses                 |        437 |        469 |        437 |        437 |        437 |        437 |        452 |        474 |        467 |        437 |        437
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   36050168 |   36055625 |   36053178 |   36045440 |   36051083 |   36052213 |   36055544 |   36055649 |   36055615 |   36049982 |   36049567
    num cache misses                 |    2119283 |    2119623 |    2119462 |    2119001 |    2119338 |    2119405 |    2119613 |    2119624 |    2119623 |    2119272 |    2119247
