                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    miss rate                        |     46.05% |     46.21% |     46.11% |     46.09% |     46.02% |     46.05% |     46.03% |     45.25% |     45.88% |     45.86% |     45.84% |     45.86% |     46.02% |     46.09% |     45.67% |     45.74%
    mpki                             |     252.72 |     253.61 |     253.08 |     252.94 |     252.57 |     252.69 |     252.61 |     248.22 |     251.75 |     251.67 |     251.52 |     251.67 |     252.54 |     252.96 |     250.59 |     250.96
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    8952957 |    8957678 |    8945125 |    8928735 |    8923064 |    8920606 |    8919638 |    8815593 |    8892954 |    8904109 |    8897000 |    8900040 |    8930563 |    8911266 |    8878980 |    8890817
    num cache misses                 |    5677127 |    5682425 |    5719232 |    5705839 |    5709310 |    5728713 |    5709558 |    5564674 |    5702002 |    5666417 |    5687209 |    5715284 |    5696684 |    5717674 |    5652968 |    5671628
    miss rate                        |     63.41% |     63.44% |     63.94% |     63.90% |     63.98% |     64.22% |     64.01% |     63.12% |     64.12% |     63.64% |     63.92% |     64.22% |     63.79% |     64.16% |     63.67% |     63.79%
    mpki                             |     198.70 |     199.20 |     200.20 |     199.79 |     199.74 |     200.32 |     199.68 |     193.49 |     199.22 |     197.82 |     198.47 |     199.47 |     198.77 |     200.09 |     196.88 |     197.45
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    5678032 |    5683334 |    5720169 |    5706756 |    5710210 |    5729626 |    5710488 |    5565593 |    5702955 |    5667357 |    5688134 |    5716195 |    5697620 |    5718567 |    5653889 |    5672560
    num cache misses                 |      36945 |      36930 |      37044 |      37004 |      36978 |      36984 |      37010 |      37414 |      36982 |      36980 |      37018 |      37041 |      36974 |      37004 |      37094 |      37186
    miss rate                        |      0.65% |      0.65% |      0.65% |      0.65% |      0.65% |      0.65% |      0.65% |      0.67% |      0.65% |      0.65% |      0.65% |      0.65% |      0.65% |      0.65% |      0.66% |      0.66%
    mpki                             |       1.29 |       1.29 |       1.30 |       1.30 |       1.29 |       1.29 |       1.29 |       1.30 |       1.29 |       1.29 |       1.29 |       1.29 |       1.29 |       1.29 |       1.29 |       1.29
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     752626 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      57.13 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       3.70 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      5.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      34549 |      34591 |      34682 |      34650 |      34604 |      34605 |      34610 |      34930 |      34627 |      34617 |      34617 |      34612 |      34618 |      34596 |      34706 |      34779
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
