                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10   
  Instructions                       |    9893110 |    9817398 |    9665893 |    9665056 |    9674333 |    9738093 |    9683740 |    9787975 |    9825395 |    9818254 |    9832343
  Cycles                             |   55289696 |   55289696 |   55289696 |   55289696 |   55289696 |   55289696 |   55289696 |   55289696 |   55289696 |   55289696 |   55289696
  IPC                                |       0.18 |       0.18 |       0.17 |       0.17 |       0.17 |       0.18 |       0.18 |       0.18 |       0.18 |       0.18 |       0.18
  Time (ns)                          |   20785600 |   20785600 |   20785600 |   20785600 |   20785600 |   20785600 |   20785600 |   20785600 |   20785600 |   20785600 |   20785600
  Idle time (ns)                     |        -85 |        132 |        -33 |         29 |        -85 |         -9 |         80 |        -17 |         16 |         16 |        132
  Idle time (%)                      |      -0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     287362 |     285242 |     281041 |     281019 |     281276 |     283043 |     281537 |     284427 |     285463 |     285265 |     285655
  num incorrect                      |       1015 |        974 |        974 |        974 |        974 |        974 |        974 |        974 |        974 |        974 |        974
  misprediction rate                 |      0.35% |      0.34% |      0.35% |      0.35% |      0.35% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34%
  mpki                               |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1086228 |    1077949 |    1061409 |    1061319 |    1062331 |    1069292 |    1063359 |    1074738 |    1078820 |    1078042 |    1079579
    num misses                       |         43 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    4564613 |    4529827 |    4460110 |    4459731 |    4463997 |    4493335 |    4468329 |    4516278 |    4533504 |    4530221 |    4536704
    num misses                       |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |         75 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72
    num misses                       |         75 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1086228 |    1077949 |    1061409 |    1061319 |    1062331 |    1069292 |    1063359 |    1074738 |    1078820 |    1078042 |    1079579
    num cache misses                 |     369622 |     360332 |     352907 |     350446 |     349191 |     349823 |     346839 |     349578 |     350039 |     349194 |     349448
    miss rate                        |     34.03% |     33.43% |     33.25% |     33.02% |     32.87% |     32.72% |     32.62% |     32.53% |     32.45% |     32.39% |     32.37%
    mpki                             |      37.36 |      36.70 |      36.51 |      36.26 |      36.09 |      35.92 |      35.82 |      35.72 |      35.63 |      35.57 |      35.54
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |           
