                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |  108033151 |   95503547 |   99375261 |   96958117 |   96150402 |   95919750 |   95597736 |   95353460 |   95192889 |   98211197 |   95171317 |   95095524
  Cycles                             |  385467250 |  385467250 |  385467250 |  385467250 |  385467250 |  385467250 |  385467250 |  385467250 |  385467250 |  385467250 |  385467250 |  385467250
  IPC                                |       0.28 |       0.25 |       0.26 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25
  Time (ns)                          |  144912500 |  144912500 |  144912500 |  144912500 |  144912500 |  144912500 |  144912500 |  144912500 |  144912500 |  144912500 |  144912500 |  144912500
  Idle time (ns)                     |        -40 |         24 |         24 |         79 |         68 |         52 |         11 |        105 |        185 |         11 |        -40 |         79
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   17101784 |   15055127 |   15691084 |   15294047 |   15161281 |   15123414 |   15070499 |   15030533 |   15004181 |   15499759 |   15000604 |   14988128
  num incorrect                      |     281892 |     242070 |     253966 |     246543 |     244067 |     243354 |     242362 |     241617 |     241121 |     250386 |     241056 |     240825
  misprediction rate                 |      1.62% |      1.58% |      1.59% |      1.59% |      1.58% |      1.58% |      1.58% |      1.58% |      1.58% |      1.59% |      1.58% |      1.58%
  mpki                               |       2.61 |       2.53 |       2.56 |       2.54 |       2.54 |       2.54 |       2.54 |       2.53 |       2.53 |       2.55 |       2.53 |       2.53
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   16653068 |   14758359 |   15341690 |   14977306 |   14855664 |   14820930 |   14772510 |   14735547 |   14711363 |   15166301 |   14708135 |   14696750
    num misses                       |        152 |        138 |        138 |        138 |        138 |        138 |        138 |        138 |        138 |        138 |        138 |        138
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   39205539 |   34529404 |   35982867 |   35075495 |   34772217 |   34685652 |   34564876 |   34473027 |   34412721 |   35546043 |   34404856 |   34376091
    num misses                       |       1051 |       1020 |       1026 |       1022 |       1020 |       1020 |       1020 |       1020 |       1018 |       1024 |       1018 |       1018
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       1203 |       1158 |       1164 |       1160 |       1158 |       1158 |       1158 |       1158 |       1156 |       1162 |       1156 |       1156
    num misses                       |        363 |        354 |        354 |        354 |        354 |        354 |        354 |        354 |        354 |        354 |        354 |        354
    miss rate                        |     30.17% |     30.57% |     30.41% |     30.52% |     30.57% |     30.57% |     30.57% |     30.57% |     30.62% |     30.46% |     30.62% |     30.62%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   16653068 |   14758359 |   15341690 |   14977306 |   14855664 |   14820930 |   14772510 |   14735547 |   14711363 |   15166301 |   14708135 |   14696750
    num cache misses                 |    6333549 |    6885159 |    6743687 |    6906955 |    6886151 |    6811995 |    6934631 |    7024374 |    7053544 |    6845534 |    7056206 |    6991589
    miss rate                        |     38.03% |     46.65% |     43.96% |     46.12% |     46.35% |     45.96% |     46.94% |     47.67% |     47.95% |     45.14% |     47.97% |     47.57%
    mpki                             |      58.63 |      72.09 |      67.86 |      71.24 |      71.62 |      71.02 |      72.54 |      73.67 |      74.10 |      69.70 |      74.14 |      73.52
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   39205539 |   34529404 |   35982867 |   35075495 |   34772217 |   34685652 |   34564876 |   34473027 |   34412721 |   35546043 |   34404856 |   34376091
    num cache misses                 |    2964349 |    3196869 |    3090959 |    3136379 |    3149547 |    3180077 |    3230035 |    3242960 |    3229037 |    3113086 |    3252079 |    3225033
    miss rate                        |      7.56% |      9.26% |      8.59% |      8.94% |      9.06% |      9.17% |      9.34% |      9.41% |      9.38% |      8.76% |      9.45% |      9.38%
    mpki                             |      27.44 |      33.47 |      31.10 |      32.35 |      32.76 |      33.15 |      33.79 |      34.01 |      33.92 |      31.70 |      34.17 |      33.91
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    9300898 |   10085485 |    9838054 |   10046805 |   10039164 |    9995564 |   10168164 |   10270961 |   10286097 |    9962160 |   10311701 |   10220020
    num cache misses                 |    3112671 |    3920956 |    3611588 |    3807704 |    3851407 |    3895821 |    3919344 |    3925499 |    3904551 |    3686720 |    3912573 |    3884190
    miss rate                        |     33.47% |     38.88% |     36.71% |     37.90% |     38.36% |     38.98% |     38.55% |     38.22% |     37.96% |     37.01% |     37.94% |     38.01%
    mpki                             |      28.81 |      41.06 |      36.34 |      39.27 |      40.06 |      40.62 |      41.00 |      41.17 |      41.02 |      37.54 |      41.11 |      40.85
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    3115858 |    3924537 |    3615194 |    3811323 |    3855012 |    3899474 |    3922966 |    3929271 |    3908189 |    3690454 |    3916128 |    3887712
    num cache misses                 |      25900 |      30554 |      28171 |      29369 |      30051 |      30513 |      30575 |      30627 |      30232 |      28728 |      29548 |      29271
    miss rate                        |      0.83% |      0.78% |      0.78% |      0.77% |      0.78% |      0.78% |      0.78% |      0.78% |      0.77% |      0.78% |      0.75% |      0.75%
    mpki                             |       0.24 |       0.32 |       0.28 |       0.30 |       0.31 |       0.32 |       0.32 |       0.32 |       0.32 |       0.29 |       0.31 |       0.31
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     532511 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      60.27 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       6.84 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      3.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      13269 |      17223 |      15319 |      16165 |      16782 |      17201 |      17189 |      17304 |      17009 |      15930 |      16382 |      16291
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
