                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10   
  Instructions                       |     120501 |     123624 |     138240 |     120525 |     120040 |     119095 |     120702 |     122397 |     120767 |     138470 |     120595
  Cycles                             |    1092728 |    1092728 |    1092728 |    1092728 |    1092728 |    1092728 |    1092728 |    1092728 |    1092728 |    1092728 |    1092728
  IPC                                |       0.11 |       0.11 |       0.13 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.13 |       0.11
  Time (ns)                          |     410800 |     410800 |     410800 |     410800 |     410800 |     410800 |     410800 |     410800 |     410800 |     410800 |     410800
  Idle time (ns)                     |         37 |        -21 |        149 |        789 |        -67 |        -27 |        -21 |        -21 |        266 |        -67 |       1383
  Idle time (%)                      |       0.0% |      -0.0% |       0.0% |       0.2% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |       0.1% |      -0.0% |       0.3%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      21908 |      23378 |      30307 |      21908 |      21842 |      21637 |      21919 |      22771 |      21955 |      30327 |      21913
  num incorrect                      |       1426 |       1438 |       1502 |       1428 |       1402 |       1374 |       1437 |       1438 |       1437 |       1519 |       1432
  misprediction rate                 |      6.11% |      5.79% |      4.72% |      6.12% |      6.03% |      5.97% |      6.15% |      5.94% |      6.14% |      4.77% |      6.13%
  mpki                               |      11.83 |      11.63 |      10.87 |      11.85 |      11.68 |      11.54 |      11.91 |      11.75 |      11.90 |      10.97 |      11.87
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15132 |      15162 |      15425 |      15134 |      15072 |      15012 |      15162 |      15162 |      15162 |      15458 |      15146
    num misses                       |         46 |         48 |         51 |         47 |         45 |         45 |         48 |         48 |         48 |         52 |         47
    miss rate                        |      0.30% |      0.32% |      0.33% |      0.31% |      0.30% |      0.30% |      0.32% |      0.32% |      0.32% |      0.34% |      0.31%
    mpki                             |       0.38 |       0.39 |       0.37 |       0.39 |       0.37 |       0.38 |       0.40 |       0.39 |       0.40 |       0.38 |       0.39
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      39741 |      39846 |      40186 |      39756 |      39673 |      39536 |      39846 |      39846 |      39846 |      40246 |      39764
    num misses                       |         71 |         71 |         72 |         71 |         71 |         71 |         71 |         71 |         71 |         72 |         71
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.59 |       0.57 |       0.52 |       0.59 |       0.59 |       0.60 |       0.59 |       0.58 |       0.59 |       0.52 |       0.59
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        117 |        119 |        123 |        118 |        116 |        116 |        119 |        119 |        119 |        124 |        118
    num misses                       |        115 |        117 |        121 |        116 |        114 |        114 |        117 |        117 |        117 |        122 |        116
    miss rate                        |     98.29% |     98.32% |     98.37% |     98.31% |     98.28% |     98.28% |     98.32% |     98.32% |     98.32% |     98.39% |     98.31%
    mpki                             |       0.95 |       0.95 |       0.88 |       0.96 |       0.95 |       0.96 |       0.97 |       0.96 |       0.97 |       0.88 |       0.96
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15132 |      15162 |      15425 |      15134 |      15072 |      15012 |      15162 |      15162 |      15162 |      15458 |      15146
    num cache misses                 |       6139 |       5950 |       5570 |       6104 |       5908 |       6001 |       6199 |       6077 |       6313 |       5157 |       6291
    miss rate                        |     40.57% |     39.24% |     36.11% |     40.33% |     39.20% |     39.97% |     40.89% |     40.08% |     41.64% |     33.36% |     41.54%
    mpki                             |      50.95 |      48.13 |      40.29 |      50.65 |      49.22 |      50.39 |      51.36 |      49.65 |      52.27 |      37.24 |      52.17
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      39741 |      39846 |      40186 |      39756 |      39673 |      39536 |      39846 |      39846 |      39846 |      40246 |      39764
    num cache misses                 |       7956 |       7866 |       7467 |       8017 |       7768 |       7858 |       8089 |       8014 |       8165 |       7253 |       8084
    miss rate                        |     20.02% |     19.74% |     18.58% |     20.17% |     19.58% |     19.88% |     20.30% |     20.11% |     20.49% |     18.02% |     20.33%
    mpki                             |      66.02 |      63.63 |      54.01 |      66.52 |      64.71 |      65.98 |      67.02 |      65.48 |      67.61 |      52.38 |      67.03
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      14127 |      13848 |      13071 |      14155 |      13708 |      13891 |      14320 |      14123 |      14510 |      12447 |      14407
    num cache misses                 |      10743 |      10588 |       9933 |      10477 |      10435 |      10496 |      10981 |      10758 |      10815 |       9583 |      10659
    miss rate                        |     76.05% |     76.46% |     75.99% |     74.02% |     76.12% |     75.56% |     76.68% |     76.17% |     74.53% |     76.99% |     73.98%
    mpki                             |      89.15 |      85.65 |      71.85 |      86.93 |      86.93 |      88.13 |      90.98 |      87.89 |      89.55 |      69.21 |      88.39
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      10776 |      10622 |       9969 |      10511 |      10468 |      10529 |      11015 |      10792 |      10849 |       9621 |      10693
    num cache misses                 |       2508 |       2532 |       2584 |       2513 |       2495 |       2485 |       2539 |       2535 |       2533 |       2592 |       2522
    miss rate                        |     23.27% |     23.84% |     25.92% |     23.91% |     23.83% |     23.60% |     23.05% |     23.49% |     23.35% |     26.94% |     23.59%
    mpki                             |      20.81 |      20.48 |      18.69 |      20.85 |      20.78 |      20.87 |      21.04 |      20.71 |      20.97 |      18.72 |      20.91
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      28062 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      83.55 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      30.12 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     57.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |           
