                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8    
  Instructions                       |   70085212 |   69721306 |   69762815 |   70066999 |   70121743 |   69894009 |   69936368 |   69854008 |   69822319
  Cycles                             |  796270202 |  796270202 |  796270202 |  796270202 |  796270202 |  796270202 |  796270202 |  796270202 |  796270202
  IPC                                |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09
  Time (ns)                          |  299349700 |  299349700 |  299349700 |  299349700 |  299349700 |  299349700 |  299349700 |  299349700 |  299349700
  Idle time (ns)                     |        -83 |        -39 |         37 |        -24 |        -83 |         37 |        -31 |         36 |         33
  Idle time (%)                      |      -0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |           
  num correct                        |   10016825 |    9964839 |    9970769 |   10014224 |   10022008 |    9989511 |    9995562 |    9983797 |    9979269
  num incorrect                      |       1443 |       1443 |       1443 |       1443 |       1519 |       1443 |       1443 |       1443 |       1443
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |      15171 |      15171 |      15171 |      15171 |      15340 |      15171 |      15171 |      15171 |      15171
    num misses                       |         48 |         48 |         48 |         48 |         52 |         48 |         48 |         48 |         48
    miss rate                        |      0.32% |      0.32% |      0.32% |      0.32% |      0.34% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |   60009333 |   59697432 |   59733003 |   59993743 |   60040250 |   59845464 |   59881772 |   59811178 |   59784016
    num misses                       |         79 |         79 |         79 |         79 |         80 |         79 |         79 |         79 |         79
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |           
    num accesses                     |        127 |        127 |        127 |        127 |        132 |        127 |        127 |        127 |        127
    num misses                       |        116 |        116 |        116 |        116 |        121 |        116 |        116 |        116 |        116
