                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  Instructions                       |     118680 |     116528 |     114820 |     117125 |     115219 |     114713 |     120779 |     121627 |     117332 |     114752 |     114683 |     114643 |     119929 |     117385 |     120990
  Cycles                             |    1171730 |    1171730 |    1171730 |    1171730 |    1171730 |    1171730 |    1171730 |    1171730 |    1171730 |    1171730 |    1171730 |    1171730 |    1171730 |    1171730 |    1171730
  IPC                                |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10
  Time (ns)                          |     440500 |     440500 |     440500 |     440500 |     440500 |     440500 |     440500 |     440500 |     440500 |     440500 |     440500 |     440500 |     440500 |     440500 |     440500
  Idle time (ns)                     |        888 |        -52 |        -52 |        -94 |          5 |        -34 |        374 |       -134 |        936 |        -34 |        342 |        326 |       -134 |        292 |        510
  Idle time (%)                      |       0.2% |      -0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |       0.1% |      -0.0% |       0.2% |      -0.0% |       0.1% |       0.1% |      -0.0% |       0.1% |       0.1%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      21552 |      21298 |      21076 |      21384 |      21126 |      21059 |      21927 |      22023 |      21406 |      21066 |      21054 |      21049 |      21821 |      21410 |      21948
  num incorrect                      |       1353 |       1331 |       1323 |       1331 |       1325 |       1322 |       1436 |       1503 |       1336 |       1322 |       1322 |       1322 |       1388 |       1337 |       1452
  misprediction rate                 |      5.91% |      5.88% |      5.91% |      5.86% |      5.90% |      5.91% |      6.15% |      6.39% |      5.87% |      5.90% |      5.91% |      5.91% |      5.98% |      5.88% |      6.21%
  mpki                               |      11.40 |      11.42 |      11.52 |      11.36 |      11.50 |      11.52 |      11.89 |      12.36 |      11.39 |      11.52 |      11.53 |      11.53 |      11.57 |      11.39 |      12.00
