                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  Instructions                       |      86632 |      90608 |      87830 |      80959 |      80620 |      82610 |      84010 |      78515 |      40085 |      87909 |      82144 |      81650 |      78377 |      40078 |      83312
  Cycles                             |    1360058 |    1360058 |    1360058 |    1360058 |    1360058 |    1360058 |    1360058 |    1360058 |    1360058 |    1360058 |    1360058 |    1360058 |    1360058 |    1360058 |    1360058
  IPC                                |       0.06 |       0.07 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.03 |       0.06 |       0.06 |       0.06 |       0.06 |       0.03 |       0.06
  Time (ns)                          |     511300 |     511300 |     511300 |     511300 |     511300 |     511300 |     511300 |     511300 |     511300 |     511300 |     511300 |     511300 |     511300 |     511300 |     511300
  Idle time (ns)                     |        143 |        -71 |        243 |         12 |        386 |        357 |        301 |        386 |     133166 |        243 |        -71 |        428 |        143 |     347714 |         59
  Idle time (%)                      |       0.0% |      -0.0% |       0.0% |       0.0% |       0.1% |       0.1% |       0.1% |       0.1% |      26.0% |       0.0% |      -0.0% |       0.1% |       0.0% |      68.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      18894 |      19646 |      19135 |      17760 |      17692 |      18091 |      18371 |      17271 |       9612 |      19150 |      17997 |      17899 |      17244 |       9611 |      18231
  num incorrect                      |       1046 |       1085 |       1046 |       1046 |       1046 |       1046 |       1046 |       1046 |       1041 |       1046 |       1046 |       1046 |       1046 |       1041 |       1046
  misprediction rate                 |      5.25% |      5.23% |      5.18% |      5.56% |      5.58% |      5.47% |      5.39% |      5.71% |      9.77% |      5.18% |      5.49% |      5.52% |      5.72% |      9.77% |      5.43%
  mpki                               |      12.07 |      11.97 |      11.91 |      12.92 |      12.97 |      12.66 |      12.45 |      13.32 |      25.97 |      11.90 |      12.73 |      12.81 |      13.35 |      25.97 |      12.56
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       4798 |       4859 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798 |       4785 |       4798 |       4798 |       4798 |       4798 |       4783 |       4798
    num misses                       |         42 |         45 |         42 |         42 |         42 |         42 |         42 |         42 |         40 |         42 |         42 |         42 |         42 |         40 |         42
    miss rate                        |      0.88% |      0.93% |      0.88% |      0.88% |      0.88% |      0.88% |      0.88% |      0.88% |      0.84% |      0.88% |      0.88% |      0.88% |      0.88% |      0.84% |      0.88%
    mpki                             |       0.48 |       0.50 |       0.48 |       0.52 |       0.52 |       0.51 |       0.50 |       0.53 |       1.00 |       0.48 |       0.51 |       0.51 |       0.54 |       1.00 |       0.50
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      65273 |      69731 |      66713 |      58468 |      58058 |      60446 |      62123 |      55534 |       9523 |      66806 |      59888 |      59299 |      55368 |       9529 |      61292
    num misses                       |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21
    miss rate                        |      0.03% |      0.03% |      0.03% |      0.04% |      0.04% |      0.03% |      0.03% |      0.04% |      0.22% |      0.03% |      0.04% |      0.04% |      0.04% |      0.22% |      0.03%
    mpki                             |       0.24 |       0.23 |       0.24 |       0.26 |       0.26 |       0.25 |       0.25 |       0.27 |       0.52 |       0.24 |       0.26 |       0.26 |       0.27 |       0.52 |       0.25
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |         63 |         66 |         63 |         63 |         63 |         63 |         63 |         63 |         61 |         63 |         63 |         63 |         63 |         61 |         63
    num misses                       |         63 |         66 |         63 |         63 |         63 |         63 |         63 |         63 |         61 |         63 |         63 |         63 |         63 |         61 |         63
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.73 |       0.73 |       0.72 |       0.78 |       0.78 |       0.76 |       0.75 |       0.80 |       1.52 |       0.72 |       0.77 |       0.77 |       0.80 |       1.52 |       0.76
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       4798 |       4859 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798 |       4785 |       4798 |       4798 |       4798 |       4798 |       4783 |       4798
    num cache misses                 |       1657 |       1457 |       1456 |       1779 |       1746 |       1748 |       1635 |       1595 |       1500 |       1710 |       1662 |       1732 |       1512 |       1584 |       1564
    miss rate                        |     34.54% |     29.99% |     30.35% |     37.08% |     36.39% |     36.43% |     34.08% |     33.24% |     31.35% |     35.64% |     34.64% |     36.10% |     31.51% |     33.12% |     32.60%
    mpki                             |      19.13 |      16.08 |      16.58 |      21.97 |      21.66 |      21.16 |      19.46 |      20.31 |      37.42 |      19.45 |      20.23 |      21.21 |      19.29 |      39.52 |      18.77
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      65273 |      69731 |      66713 |      58468 |      58058 |      60446 |      62123 |      55534 |       9523 |      66806 |      59888 |      59299 |      55368 |       9529 |      61292
    num cache misses                 |      25098 |      24134 |      24787 |      24892 |      24725 |      25095 |      25027 |      23493 |       1931 |      25954 |      24882 |      24852 |      23630 |       2130 |      24297
    miss rate                        |     38.45% |     34.61% |     37.15% |     42.57% |     42.59% |     41.52% |     40.29% |     42.30% |     20.28% |     38.85% |     41.55% |     41.91% |     42.68% |     22.35% |     39.64%
    mpki                             |     289.71 |     266.36 |     282.22 |     307.46 |     306.69 |     303.78 |     297.91 |     299.22 |      48.17 |     295.24 |     302.91 |     304.37 |     301.49 |      53.15 |     291.64
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      26772 |      25611 |      26259 |      26686 |      26487 |      26860 |      26681 |      25108 |       3449 |      27680 |      26563 |      26603 |      25161 |       3732 |      25881
    num cache misses                 |      25963 |      24981 |      25628 |      25939 |      25759 |      26112 |      25977 |      24306 |       2715 |      26957 |      25885 |      25864 |      24510 |       2924 |      25105
    miss rate                        |     96.98% |     97.54% |     97.60% |     97.20% |     97.25% |     97.22% |     97.36% |     96.81% |     78.72% |     97.39% |     97.45% |     97.22% |     97.41% |     78.35% |     97.00%
    mpki                             |     299.69 |     275.70 |     291.79 |     320.40 |     319.51 |     316.09 |     309.21 |     309.57 |      67.73 |     306.65 |     315.12 |     316.77 |     312.72 |      72.96 |     301.34
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      25980 |      25003 |      25644 |      25954 |      25775 |      26129 |      25997 |      24328 |       2735 |      26973 |      25904 |      25884 |      24531 |       2944 |      25127
    num cache misses                 |        730 |        775 |        728 |        730 |        731 |        732 |        727 |        730 |        719 |        732 |        734 |        733 |        733 |        718 |        730
    miss rate                        |      2.81% |      3.10% |      2.84% |      2.81% |      2.84% |      2.80% |      2.80% |      3.00% |     26.29% |      2.71% |      2.83% |      2.83% |      2.99% |     24.39% |      2.91%
    mpki                             |       8.43 |       8.55 |       8.29 |       9.02 |       9.07 |       8.86 |       8.65 |       9.30 |      17.94 |       8.33 |       8.94 |       8.98 |       9.35 |      17.92 |       8.76
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      11223 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     129.44 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      76.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     18.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |        194 |        202 |        187 |        200 |        200 |        200 |        186 |        192 |        189 |        198 |        198 |        197 |        193 |        189 |        189
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
