                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10   
  Instructions                       |   60121189 |   60121171 |   60121656 |   60121498 |   60121490 |   60121319 |   60121294 |   60121248 |   60121243 |   60121215 |   60120956
  Cycles                             |  220398024 |  220398024 |  220398024 |  220398024 |  220398024 |  220398024 |  220398024 |  220398024 |  220398024 |  220398024 |  220398024
  IPC                                |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27
  Time (ns)                          |   82856400 |   82856400 |   82856400 |   82856400 |   82856400 |   82856400 |   82856400 |   82856400 |   82856400 |   82856400 |   82856400
  Idle time (ns)                     |         -4 |        -33 |        -64 |         43 |         34 |         94 |         76 |         23 |          8 |         23 |         34
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10021960 |   10021960 |   10022010 |   10021999 |   10021995 |   10021975 |   10021971 |   10021967 |   10021967 |   10021964 |   10021932
  num incorrect                      |       1472 |       1471 |       1516 |       1502 |       1501 |       1483 |       1480 |       1477 |       1476 |       1474 |       1457
  misprediction rate                 |      0.01% |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.03 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15249 |      15246 |      15333 |      15312 |      15309 |      15273 |      15267 |      15259 |      15256 |      15252 |      15198
    num misses                       |         49 |         49 |         52 |         51 |         51 |         50 |         50 |         50 |         50 |         49 |         49
    miss rate                        |      0.32% |      0.32% |      0.34% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      40050 |      40025 |      40227 |      40199 |      40192 |      40111 |      40100 |      40075 |      40070 |      40058 |      39958
    num misses                       |        158 |        158 |        159 |        159 |        159 |        159 |        159 |        159 |        159 |        159 |        158
    miss rate                        |      0.39% |      0.39% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        207 |        207 |        211 |        210 |        210 |        209 |        209 |        209 |        209 |        208 |        207
