                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |    6652261 |    6630814 |    6627575 |    6728755 |    6624174 |    6634291 |    6649783 |    6631730 |    6635829 |    6720390 |    6626043 |    6626014
  Cycles                             |   43112216 |   43112216 |   43112216 |   43112216 |   43112216 |   43112216 |   43112216 |   43112216 |   43112216 |   43112216 |   43112216 |   43112216
  IPC                                |       0.15 |       0.15 |       0.15 |       0.16 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.16 |       0.15 |       0.15
  Time (ns)                          |   16207600 |   16207600 |   16207600 |   16207600 |   16207600 |   16207600 |   16207600 |   16207600 |   16207600 |   16207600 |   16207600 |   16207600
  Idle time (ns)                     |        117 |        282 |        253 |         -1 |        211 |        211 |        194 |        211 |        282 |         -1 |        117 |        194
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     258114 |     257689 |     257625 |     259678 |     257558 |     257758 |     258064 |     257708 |     257789 |     259459 |     257596 |     257595
  num incorrect                      |       3911 |       3911 |       3911 |       3961 |       3911 |       3911 |       3911 |       3911 |       3911 |       3911 |       3911 |       3911
  misprediction rate                 |      1.49% |      1.50% |      1.50% |      1.50% |      1.50% |      1.49% |      1.49% |      1.49% |      1.49% |      1.48% |      1.50% |      1.50%
  mpki                               |       0.59 |       0.59 |       0.59 |       0.59 |       0.59 |       0.59 |       0.59 |       0.59 |       0.59 |       0.58 |       0.59 |       0.59
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     674651 |     672987 |     672736 |     680639 |     672473 |     673257 |     674457 |     673058 |     673377 |     679931 |     672619 |     672616
    num misses                       |         60 |         60 |         60 |         62 |         60 |         60 |         60 |         60 |         60 |         60 |         60 |         60
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    3610475 |    3599315 |    3597629 |    3650207 |    3595863 |    3601123 |    3609179 |    3599787 |    3601924 |    3645895 |    3596837 |    3596820
    num misses                       |        101 |        101 |        101 |        107 |        101 |        101 |        101 |        101 |        101 |        101 |        101 |        101
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        161 |        161 |        161 |        169 |        161 |        161 |        161 |        161 |        161 |        161 |        161 |        161
    num misses                       |        146 |        146 |        146 |        147 |        146 |        146 |        146 |        146 |        146 |        146 |        146 |        146
    miss rate                        |     90.68% |     90.68% |     90.68% |     86.98% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     674651 |     672987 |     672736 |     680639 |     672473 |     673257 |     674457 |     673058 |     673377 |     679931 |     672619 |     672616
    num cache misses                 |     388584 |     385715 |     385646 |     372306 |     381642 |     381728 |     379151 |     381837 |     378889 |     372014 |     380158 |     378784
    miss rate                        |     57.60% |     57.31% |     57.33% |     54.70% |     56.75% |     56.70% |     56.22% |     56.73% |     56.27% |     54.71% |     56.52% |     56.32%
