                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6    
  Instructions                       |   28759949 |   28664131 |   28689437 |   28694422 |   28712089 |   28660461 |   28655481
  Cycles                             |   85413398 |   85413398 |   85413398 |   85413398 |   85413398 |   85413398 |   85413398
  IPC                                |       0.34 |       0.34 |       0.34 |       0.34 |       0.34 |       0.34 |       0.34
  Time (ns)                          |   32110300 |   32110300 |   32110300 |   32110300 |   32110300 |   32110300 |   32110300
  Idle time (ns)                     |        -85 |        -24 |        -85 |          3 |        -86 |        -51 |        -13
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |           
  num correct                        |    1059719 |    1057799 |    1058293 |    1058390 |    1058732 |    1057729 |    1057631
  num incorrect                      |       8006 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |           
    num accesses                     |    2876325 |    2868869 |    2870824 |    2871209 |    2872565 |    2868588 |    2868202
    num misses                       |         63 |         61 |         61 |         61 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |           
    num accesses                     |   15778135 |   15728397 |   15741540 |   15744144 |   15753265 |   15726495 |   15723911
    num misses                       |       6344 |       6124 |       6183 |       6194 |       6224 |       6117 |       6104
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.22 |       0.21 |       0.22 |       0.22 |       0.22 |       0.21 |       0.21
  L2 TLB                             |            |            |            |            |            |            |           
    num accesses                     |       6407 |       6185 |       6244 |       6255 |       6285 |       6178 |       6165
    num misses                       |        333 |        316 |        316 |        317 |        318 |        316 |        316
    miss rate                        |      5.20% |      5.11% |      5.06% |      5.07% |      5.06% |      5.11% |      5.13%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |           
    num cache accesses               |    2876325 |    2868869 |    2870824 |    2871209 |    2872565 |    2868588 |    2868202
    num cache misses                 |    1203267 |    1222805 |    1219054 |    1219337 |    1214326 |    1229181 |    1228492
    miss rate                        |     41.83% |     42.62% |     42.46% |     42.47% |     42.27% |     42.85% |     42.83%
    mpki                             |      41.84 |      42.66 |      42.49 |      42.49 |      42.29 |      42.89 |      42.87
  Cache L1-D                         |            |            |            |            |            |            |           
    num cache accesses               |   15778135 |   15728397 |   15741540 |   15744144 |   15753265 |   15726495 |   15723911
    num cache misses                 |     164111 |     167521 |     166686 |     166367 |     167346 |     166719 |     167469
    miss rate                        |      1.04% |      1.07% |      1.06% |      1.06% |      1.06% |      1.06% |      1.07%
    mpki                             |       5.71 |       5.84 |       5.81 |       5.80 |       5.83 |       5.82 |       5.84
  Cache L2                           |            |            |            |            |            |            |           
    num cache accesses               |    1367454 |    1390387 |    1385807 |    1385768 |    1381734 |    1395960 |    1396018
    num cache misses                 |     132661 |     132490 |     135734 |     136582 |     135454 |     134239 |     134791
    miss rate                        |      9.70% |      9.53% |      9.79% |      9.86% |      9.80% |      9.62% |      9.66%
    mpki                             |       4.61 |       4.62 |       4.73 |       4.76 |       4.72 |       4.68 |       4.70
  Cache L3                           |            |            |            |            |            |            |           
    num cache accesses               |     132743 |     132557 |     135806 |     136651 |     135521 |     134303 |     134854
    num cache misses                 |      14747 |      14623 |      14627 |      14624 |      14648 |      14618 |      14618
    miss rate                        |     11.11% |     11.03% |     10.77% |     10.70% |     10.81% |     10.88% |     10.84%
    mpki                             |       0.51 |       0.51 |       0.51 |       0.51 |       0.51 |       0.51 |       0.51
DRAM summary                         |            |            |            |            |            |            |           
  num dram accesses                  |     108516 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      57.94 |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       4.51 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      2.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |           
  num loads from dram                |       7091 |       7050 |       7011 |       7110 |       7093 |       7147 |       7119
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0
