                                     | Core 0     | Core 1     | Core 2    
  Instructions                       |   40120903 |   40121733 |   40121367
  Cycles                             |   40467910 |   40467910 |   40467910
  IPC                                |       0.99 |       0.99 |       0.99
  Time (ns)                          |   15213500 |   15213500 |   15213500
  Idle time (ns)                     |        -22 |        -22 |        806
  Idle time (%)                      |      -0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |           
  num correct                        |   10021923 |   10022006 |   10021973
  num incorrect                      |       1453 |       1519 |       1485
  misprediction rate                 |      0.01% |      0.02% |      0.01%
  mpki                               |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |           
  I-TLB                              |            |            |           
    num accesses                     |   20015186 |   20015334 |   20015274
    num misses                       |         49 |         52 |         50
    miss rate                        |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |           
    num accesses                     |      39914 |      40245 |      40115
    num misses                       |         73 |         74 |         74
    miss rate                        |      0.18% |      0.18% |      0.18%
    mpki                             |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |           
    num accesses                     |        122 |        126 |        124
    num misses                       |        118 |        122 |        120
    miss rate                        |     96.72% |     96.83% |     96.77%
    mpki                             |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |           
  Cache L1-I                         |            |            |           
    num cache accesses               |   20015186 |   20015334 |   20015274
    num cache misses                 |       1339 |       1393 |       1371
    miss rate                        |      0.01% |      0.01% |      0.01%
    mpki                             |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |           
    num cache accesses               |      39914 |      40245 |      40115
    num cache misses                 |       2227 |       2233 |       2241
    miss rate                        |      5.58% |      5.55% |      5.59%
    mpki                             |       0.06 |       0.06 |       0.06
  Cache L2                           |            |            |           
    num cache accesses               |       3607 |       3668 |       3651
    num cache misses                 |       2658 |       2724 |       2679
    miss rate                        |     73.69% |     74.26% |     73.38%
    mpki                             |       0.07 |       0.07 |       0.07
  Cache L3                           |            |            |           
    num cache accesses               |       2701 |       2768 |       2721
    num cache misses                 |       2428 |       2481 |       2448
    miss rate                        |     89.89% |     89.63% |     89.97%
    mpki                             |       0.06 |       0.06 |       0.06
DRAM summary                         |            |            |           
  num dram accesses                  |       7357 |          0 |          0
  average dram access latency (ns)   |      70.41 |        inf |        inf
  average dram queueing delay        |      16.98 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |           
  num loads from dram                |       1124 |       1130 |       1128
  num loads from dram cache          |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0
