                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  Instructions                       |      85665 |      83377 |      81410 |      84395 |      40085 |      82290 |      90563 |      85944 |      80852 |      74010 |      80842 |      83583 |      76917 |      61323 |      80075
  Cycles                             |    1531628 |    1531628 |    1531628 |    1531628 |    1531628 |    1531628 |    1531628 |    1531628 |    1531628 |    1531628 |    1531628 |    1531628 |    1531628 |    1531628 |    1531628
  IPC                                |       0.06 |       0.05 |       0.05 |       0.06 |       0.03 |       0.05 |       0.06 |       0.06 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.04 |       0.05
  Time (ns)                          |     575800 |     575800 |     575800 |     575800 |     575800 |     575800 |     575800 |     575800 |     575800 |     575800 |     575800 |     575800 |     575800 |     575800 |     575800
  Idle time (ns)                     |        179 |          7 |        483 |        483 |     255873 |         56 |        -40 |        -40 |        373 |        455 |        689 |        179 |        455 |        151 |        320
  Idle time (%)                      |       0.0% |       0.0% |       0.1% |       0.1% |      44.4% |       0.0% |      -0.0% |      -0.0% |       0.1% |       0.1% |       0.1% |       0.0% |       0.1% |       0.0% |       0.1%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      18701 |      18244 |      17851 |      18448 |       9612 |      18027 |      19646 |      18757 |      17739 |      16370 |      17737 |      18285 |      16952 |      13833 |      17583
  num incorrect                      |       1046 |       1046 |       1046 |       1046 |       1041 |       1046 |       1085 |       1046 |       1046 |       1046 |       1046 |       1046 |       1046 |       1046 |       1046
  misprediction rate                 |      5.30% |      5.42% |      5.54% |      5.37% |      9.77% |      5.48% |      5.23% |      5.28% |      5.57% |      6.01% |      5.57% |      5.41% |      5.81% |      7.03% |      5.61%
  mpki                               |      12.21 |      12.55 |      12.85 |      12.39 |      25.97 |      12.71 |      11.98 |      12.17 |      12.94 |      14.13 |      12.94 |      12.51 |      13.60 |      17.06 |      13.06
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       4798 |       4798 |       4798 |       4798 |       4785 |       4798 |       4859 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798
    num misses                       |         42 |         42 |         42 |         42 |         40 |         42 |         45 |         42 |         42 |         42 |         42 |         42 |         42 |         42 |         42
    miss rate                        |      0.88% |      0.88% |      0.88% |      0.88% |      0.84% |      0.88% |      0.93% |      0.88% |      0.88% |      0.88% |      0.88% |      0.88% |      0.88% |      0.88% |      0.88%
    mpki                             |       0.49 |       0.50 |       0.52 |       0.50 |       1.00 |       0.51 |       0.50 |       0.49 |       0.52 |       0.57 |       0.52 |       0.50 |       0.55 |       0.68 |       0.52
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      64111 |      61370 |      59000 |      62592 |       9529 |      60065 |      69710 |      64448 |      58340 |      50128 |      58327 |      61616 |      53619 |      34904 |      57406
    num misses                       |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21
    miss rate                        |      0.03% |      0.03% |      0.04% |      0.03% |      0.22% |      0.03% |      0.03% |      0.03% |      0.04% |      0.04% |      0.04% |      0.03% |      0.04% |      0.06% |      0.04%
