                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13   
  Instructions                       |   12594437 |   12615552 |   12621329 |   12587849 |   12586804 |   12621668 |   12601578 |   12586707 |   12608354 |   12585932 |   12588997 |   12591691 |   12588297 |   12586644
  Cycles                             |   59339014 |   59339014 |   59339014 |   59339014 |   59339014 |   59339014 |   59339014 |   59339014 |   59339014 |   59339014 |   59339014 |   59339014 |   59339014 |   59339014
  IPC                                |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21
  Time (ns)                          |   22307900 |   22307900 |   22307900 |   22307900 |   22307900 |   22307900 |   22307900 |   22307900 |   22307900 |   22307900 |   22307900 |   22307900 |   22307900 |   22307900
  Idle time (ns)                     |         51 |        -41 |        380 |         18 |        -41 |        -56 |         51 |         18 |        114 |        105 |        -56 |         95 |          3 |          2
  Idle time (%)                      |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    2516664 |    2520886 |    2521975 |    2515345 |    2515137 |    2522009 |    2518091 |    2515117 |    2519446 |    2514962 |    2515575 |    2516114 |    2515435 |    2515104
  num incorrect                      |       1440 |       1440 |       1483 |       1440 |       1440 |       1516 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440
  misprediction rate                 |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06%
  mpki                               |       0.11 |       0.11 |       0.12 |       0.11 |       0.11 |       0.12 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15164 |      15164 |      15273 |      15164 |      15164 |      15333 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164
    num misses                       |         48 |         48 |         50 |         48 |         48 |         52 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48
    miss rate                        |      0.32% |      0.32% |      0.33% |      0.32% |      0.32% |      0.34% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      39841 |      39841 |      40106 |      39841 |      39841 |      40223 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841
    num misses                       |         73 |         73 |         74 |         73 |         73 |         74 |         73 |         73 |         73 |         73 |         73 |         73 |         73 |         73
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        121 |        121 |        124 |        121 |        121 |        126 |        121 |        121 |        121 |        121 |        121 |        121 |        121 |        121
    num misses                       |        116 |        116 |        119 |        116 |        116 |        121 |        116 |        116 |        116 |        116 |        116 |        116 |        116 |        116
    miss rate                        |     95.87% |     95.87% |     95.97% |     95.87% |     95.87% |     96.03% |     95.87% |     95.87% |     95.87% |     95.87% |     95.87% |     95.87% |     95.87% |     95.87%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15164 |      15164 |      15273 |      15164 |      15164 |      15333 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164
    num cache misses                 |       6759 |       5788 |       5713 |       6768 |       6684 |       5653 |       6069 |       6545 |       5737 |       6774 |       6762 |       6146 |       6697 |       6642
    miss rate                        |     44.57% |     38.17% |     37.41% |     44.63% |     44.08% |     36.87% |     40.02% |     43.16% |     37.83% |     44.67% |     44.59% |     40.53% |     44.16% |     43.80%
    mpki                             |       0.54 |       0.46 |       0.45 |       0.54 |       0.53 |       0.45 |       0.48 |       0.52 |       0.46 |       0.54 |       0.54 |       0.49 |       0.53 |       0.53
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      39841 |      39841 |      40106 |      39841 |      39841 |      40223 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841
    num cache misses                 |       9061 |       8386 |       8286 |       9092 |       9076 |       8308 |       8692 |       9029 |       8269 |       9081 |       9110 |       8931 |       8991 |       9058
    miss rate                        |     22.74% |     21.05% |     20.66% |     22.82% |     22.78% |     20.65% |     21.82% |     22.66% |     20.76% |     22.79% |     22.87% |     22.42% |     22.57% |     22.74%
    mpki                             |       0.72 |       0.66 |       0.66 |       0.72 |       0.72 |       0.66 |       0.69 |       0.72 |       0.66 |       0.72 |       0.72 |       0.71 |       0.71 |       0.72
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15851 |      14206 |      14031 |      15891 |      15793 |      13994 |      14792 |      15606 |      14038 |      15886 |      15903 |      15108 |      15719 |      15732
    num cache misses                 |      13110 |      12072 |      11789 |      13229 |      13122 |      11722 |      12582 |      12993 |      11909 |      13065 |      13228 |      13071 |      13115 |      12973
    miss rate                        |     82.71% |     84.98% |     84.02% |     83.25% |     83.09% |     83.76% |     85.06% |     83.26% |     84.83% |     82.24% |     83.18% |     86.52% |     83.43% |     82.46%
    mpki                             |       1.04 |       0.96 |       0.93 |       1.05 |       1.04 |       0.93 |       1.00 |       1.03 |       0.94 |       1.04 |       1.05 |       1.04 |       1.04 |       1.03
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      13141 |      12105 |      11823 |      13260 |      13157 |      11757 |      12614 |      13027 |      11944 |      13096 |      13261 |      13103 |      13146 |      13007
    num cache misses                 |       2642 |       2639 |       2649 |       2647 |       2646 |       2688 |       2629 |       2649 |       2631 |       2646 |       2635 |       2643 |       2645 |       2632
    miss rate                        |     20.11% |     21.80% |     22.41% |     19.96% |     20.11% |     22.86% |     20.84% |     20.33% |     22.03% |     20.20% |     19.87% |     20.17% |     20.12% |     20.24%
    mpki                             |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      37407 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
