                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |     121659 |     121302 |     120856 |     119150 |     119187 |     120792
  Cycles                             |     604618 |     604618 |     604618 |     604618 |     604618 |     604618
  IPC                                |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20
  Time (ns)                          |     227300 |     227300 |     227300 |     227300 |     227300 |     227300
  Idle time (ns)                     |       -768 |       -768 |       -172 |        -71 |        361 |        392
  Idle time (%)                      |      -0.3% |      -0.3% |      -0.1% |      -0.0% |       0.2% |       0.2%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |      22023 |      21979 |      21939 |      21649 |      21651 |      21929
  num incorrect                      |       1503 |       1461 |       1438 |       1369 |       1369 |       1436
  misprediction rate                 |      6.39% |      6.23% |      6.15% |      5.95% |      5.95% |      6.15%
  mpki                               |      12.35 |      12.04 |      11.90 |      11.49 |      11.49 |      11.89
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |      15330 |      15251 |      15182 |      15021 |      15023 |      15181
    num misses                       |         52 |         50 |         49 |         45 |         45 |         49
    miss rate                        |      0.34% |      0.33% |      0.32% |      0.30% |      0.30% |      0.32%
    mpki                             |       0.43 |       0.41 |       0.41 |       0.38 |       0.38 |       0.41
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |      40219 |      40047 |      39903 |      39532 |      39558 |      39879
    num misses                       |        118 |        117 |        117 |        116 |        116 |        117
    miss rate                        |      0.29% |      0.29% |      0.29% |      0.29% |      0.29% |      0.29%
    mpki                             |       0.97 |       0.96 |       0.97 |       0.97 |       0.97 |       0.97
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |        170 |        167 |        166 |        161 |        161 |        166
    num misses                       |        121 |        118 |        117 |        114 |        114 |        117
    miss rate                        |     71.18% |     70.66% |     70.48% |     70.81% |     70.81% |     70.48%
    mpki                             |       0.99 |       0.97 |       0.97 |       0.96 |       0.96 |       0.97
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |      15330 |      15251 |      15182 |      15021 |      15023 |      15181
    num cache misses                 |       4247 |       4378 |       4634 |       4154 |       4226 |       4550
    miss rate                        |     27.70% |     28.71% |     30.52% |     27.65% |     28.13% |     29.97%
    mpki                             |      34.91 |      36.09 |      38.34 |      34.86 |      35.46 |      37.67
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |      40219 |      40047 |      39903 |      39532 |      39558 |      39879
    num cache misses                 |       4225 |       4372 |       4455 |       4134 |       4134 |       4422
    miss rate                        |     10.50% |     10.92% |     11.16% |     10.46% |     10.45% |     11.09%
    mpki                             |      34.73 |      36.04 |      36.86 |      34.70 |      34.68 |      36.61
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |       8508 |       8785 |       9123 |       8320 |       8392 |       9006
    num cache misses                 |       3709 |       3753 |       3711 |       3584 |       3590 |       3734
    miss rate                        |     43.59% |     42.72% |     40.68% |     43.08% |     42.78% |     41.46%
    mpki                             |      30.49 |      30.94 |      30.71 |      30.08 |      30.12 |      30.91
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |       3746 |       3789 |       3747 |       3618 |       3624 |       3770
    num cache misses                 |       2475 |       2437 |       2422 |       2365 |       2365 |       2421
    miss rate                        |     66.07% |     64.32% |     64.64% |     65.37% |     65.26% |     64.22%
    mpki                             |      20.34 |      20.09 |      20.04 |      19.85 |      19.84 |      20.04
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      14485 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      75.83 |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      22.40 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     53.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |       1144 |       1133 |       1142 |       1135 |       1135 |       1142
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0
