                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13   
  Instructions                       |      90515 |      90442 |      90493 |      90474 |      90551 |      90444 |      90315 |      90323 |      90223 |      90220 |      90288 |      90270 |      90225 |      90155
  Cycles                             |     737086 |     737086 |     737086 |     737086 |     737086 |     737086 |     737086 |     737086 |     737086 |     737086 |     737086 |     737086 |     737086 |     737086
  IPC                                |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12
  Time (ns)                          |     277100 |     277100 |     277100 |     277100 |     277100 |     277100 |     277100 |     277100 |     277100 |     277100 |     277100 |     277100 |     277100 |     277100
  Idle time (ns)                     |         -5 |         63 |        -21 |         87 |        -53 |        -42 |         63 |        -21 |         87 |        108 |        -21 |         36 |         36 |        128
  Idle time (%)                      |      -0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      19645 |      19637 |      19644 |      19640 |      19646 |      19637 |      19622 |      19622 |      19613 |      19613 |      19620 |      19616 |      19613 |      19600
  num incorrect                      |       1085 |       1073 |       1082 |       1079 |       1085 |       1074 |       1059 |       1060 |       1046 |       1046 |       1058 |       1056 |       1046 |       1046
  misprediction rate                 |      5.23% |      5.18% |      5.22% |      5.21% |      5.23% |      5.19% |      5.12% |      5.13% |      5.06% |      5.06% |      5.12% |      5.11% |      5.06% |      5.07%
  mpki                               |      11.99 |      11.86 |      11.96 |      11.93 |      11.98 |      11.87 |      11.73 |      11.74 |      11.59 |      11.59 |      11.72 |      11.70 |      11.59 |      11.60
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       4857 |       4847 |       4854 |       4852 |       4859 |       4847 |       4825 |       4826 |       4799 |       4798 |       4818 |       4814 |       4801 |       4798
