                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    miss rate                        |     28.27% |     28.27% |     28.35% |     27.82% |     28.35% |     28.33% |     28.24% |     28.43% |     28.30% |     28.24% |     28.33% |     28.28% |     28.09% |     28.30% |     28.27% |     28.06%
    mpki                             |     155.17 |     155.16 |     155.63 |     152.61 |     155.63 |     155.53 |     154.99 |     156.04 |     155.31 |     155.00 |     155.50 |     155.24 |     154.14 |     155.32 |     155.15 |     153.95
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    6211851 |    6203791 |    6222810 |    6135044 |    6210731 |    6192144 |    6185771 |    6215724 |    6190835 |    6184487 |    6188713 |    6186102 |    6165295 |    6187736 |    6186618 |    6163406
    num cache misses                 |    5744613 |    5748920 |    5749259 |    5657567 |    5757102 |    5757256 |    5735805 |    5760436 |    5752680 |    5732250 |    5757078 |    5740756 |    5695174 |    5744385 |    5738505 |    5686577
    miss rate                        |     92.48% |     92.67% |     92.39% |     92.22% |     92.70% |     92.98% |     92.73% |     92.68% |     92.92% |     92.69% |     93.03% |     92.80% |     92.37% |     92.84% |     92.76% |     92.26%
    mpki                             |     201.74 |     201.89 |     201.89 |     196.72 |     202.19 |     202.17 |     201.03 |     202.31 |     201.80 |     200.87 |     202.03 |     201.32 |     198.87 |     201.47 |     201.08 |     198.13
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    5745566 |    5749889 |    5750178 |    5658518 |    5758081 |    5758210 |    5736757 |    5761395 |    5753651 |    5733240 |    5758029 |    5741757 |    5696116 |    5745333 |    5739448 |    5687512
    num cache misses                 |      37198 |      37112 |      37183 |      37534 |      37294 |      37293 |      37149 |      37154 |      37255 |      37248 |      37299 |      37285 |      37311 |      37211 |      37130 |      37249
    miss rate                        |      0.65% |      0.65% |      0.65% |      0.66% |      0.65% |      0.65% |      0.65% |      0.64% |      0.65% |      0.65% |      0.65% |      0.65% |      0.66% |      0.65% |      0.65% |      0.65%
    mpki                             |       1.31 |       1.30 |       1.31 |       1.31 |       1.31 |       1.31 |       1.30 |       1.30 |       1.31 |       1.31 |       1.31 |       1.31 |       1.30 |       1.31 |       1.30 |       1.30
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     757527 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      57.78 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       4.35 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      6.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      34152 |      34035 |      34055 |      34294 |      34152 |      34159 |      34013 |      34014 |      34022 |      34106 |      34102 |      34063 |      34044 |      33968 |      33962 |      34030
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
