                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     138397 |     135614 |     125867 |     132936
  Cycles                             |     529074 |     529074 |     529074 |     529074
  IPC                                |       0.26 |       0.26 |       0.24 |       0.25
  Time (ns)                          |     198900 |     198900 |     198900 |     198900
  Idle time (ns)                     |        -97 |        -97 |        -30 |        -45
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |      30327 |      29321 |      24502 |      28004
  num incorrect                      |       1519 |       1443 |       1438 |       1443
  misprediction rate                 |      4.77% |      4.69% |      5.54% |      4.90%
  mpki                               |      10.98 |      10.64 |      11.42 |      10.85
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |      15458 |      15262 |      15162 |      15220
    num misses                       |         52 |         48 |         48 |         48
    miss rate                        |      0.34% |      0.31% |      0.32% |      0.32%
    mpki                             |       0.38 |       0.35 |       0.38 |       0.36
  D-TLB                              |            |            |            |           
    num accesses                     |      40209 |      39846 |      39846 |      39846
    num misses                       |         72 |         71 |         71 |         71
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.52 |       0.52 |       0.56 |       0.53
  L2 TLB                             |            |            |            |           
    num accesses                     |        124 |        119 |        119 |        119
    num misses                       |        122 |        117 |        117 |        117
    miss rate                        |     98.39% |     98.32% |     98.32% |     98.32%
    mpki                             |       0.88 |       0.86 |       0.93 |       0.88
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      15458 |      15262 |      15162 |      15220
    num cache misses                 |       1592 |       1587 |       1521 |       1583
    miss rate                        |     10.30% |     10.40% |     10.03% |     10.40%
    mpki                             |      11.50 |      11.70 |      12.08 |      11.91
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      40209 |      39846 |      39846 |      39846
    num cache misses                 |       2964 |       3005 |       2946 |       2974
    miss rate                        |      7.37% |      7.54% |      7.39% |      7.46%
    mpki                             |      21.42 |      22.16 |      23.41 |      22.37
  Cache L2                           |            |            |            |           
    num cache accesses               |       4595 |       4628 |       4505 |       4596
    num cache misses                 |       2802 |       2697 |       2705 |       2705
    miss rate                        |     60.98% |     58.28% |     60.04% |     58.86%
    mpki                             |      20.25 |      19.89 |      21.49 |      20.35
  Cache L3                           |            |            |            |           
    num cache accesses               |       2844 |       2736 |       2746 |       2746
    num cache misses                 |       2477 |       2410 |       2410 |       2410
    miss rate                        |     87.10% |     88.08% |     87.76% |     87.76%
    mpki                             |      17.90 |      17.77 |      19.15 |      18.13
DRAM summary                         |            |            |            |           
  num dram accesses                  |       9707 |          0 |          0 |          0
  average dram access latency (ns)   |      71.32 |        inf |        inf |        inf
  average dram queueing delay        |      17.89 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     41.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       1133 |       1125 |       1129 |       1127
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
