                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6    
  Instructions                       |  107373881 |  107438078 |  107102636 |  108033184 |  107230048 |  107629412 |  107448610
  Cycles                             |  242337172 |  242337172 |  242337172 |  242337172 |  242337172 |  242337172 |  242337172
  IPC                                |       0.44 |       0.44 |       0.44 |       0.45 |       0.44 |       0.44 |       0.44
  Time (ns)                          |   91104200 |   91104200 |   91104200 |   91104200 |   91104200 |   91104200 |   91104200
  Idle time (ns)                     |          9 |         32 |          6 |        -25 |        -25 |          2 |         56
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |           
  num correct                        |   16996139 |   17005057 |   16952508 |   17101784 |   16974176 |   17031555 |   17006539
  num incorrect                      |     279749 |     279833 |     279103 |     281892 |     279541 |     280053 |     279847
  misprediction rate                 |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62%
  mpki                               |       2.61 |       2.60 |       2.61 |       2.61 |       2.61 |       2.60 |       2.60
TLB Summary                          |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |           
    num accesses                     |   16556567 |   16568181 |   16511444 |   16653068 |   16531517 |   16602699 |   16570106
    num misses                       |        138 |        138 |        138 |        152 |        138 |        138 |        138
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |           
    num accesses                     |   38971114 |   38996007 |   38873178 |   39205561 |   38919353 |   39070675 |   39000012
    num misses                       |       1034 |       1034 |       1034 |       1052 |       1034 |       1034 |       1034
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  L2 TLB                             |            |            |            |            |            |            |           
    num accesses                     |       1172 |       1172 |       1172 |       1204 |       1172 |       1172 |       1172
    num misses                       |        354 |        354 |        354 |        363 |        354 |        354 |        354
    miss rate                        |     30.20% |     30.20% |     30.20% |     30.15% |     30.20% |     30.20% |     30.20%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |           
    num cache accesses               |   16556567 |   16568181 |   16511444 |   16653068 |   16531517 |   16602699 |   16570106
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |           
    num cache accesses               |   38971114 |   38996007 |   38873178 |   39205561 |   38919353 |   39070675 |   39000012
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L2                           |            |            |            |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |            |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |           
  num dram accesses                  |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0
