                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    9886928 |    9880403 |    9892827 |    9881979 |    9893110 |    9877688 |    9875575 |    9872902
  Cycles                             |   32272982 |   32272982 |   32272982 |   32272982 |   32272982 |   32272982 |   32272982 |   32272982
  IPC                                |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31
  Time (ns)                          |   12132700 |   12132700 |   12132700 |   12132700 |   12132700 |   12132700 |   12132700 |   12132700
  Idle time (ns)                     |         21 |        -19 |        500 |         21 |        -52 |        -27 |        -29 |        -52
  Idle time (%)                      |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     287168 |     286987 |     287335 |     287031 |     287362 |     286912 |     286853 |     286779
  num incorrect                      |        974 |        974 |        988 |        974 |       1015 |        974 |        974 |        974
  misprediction rate                 |      0.34% |      0.34% |      0.34% |      0.34% |      0.35% |      0.34% |      0.34% |      0.34%
  mpki                               |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    1085538 |    1084826 |    1086187 |    1084998 |    1086228 |    1084528 |    1084298 |    1084006
    num misses                       |         40 |         40 |         40 |         40 |         43 |         40 |         40 |         40
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    4561811 |    4558819 |    4564526 |    4559545 |    4564613 |    4557566 |    4556596 |    4555366
    num misses                       |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |         72 |         72 |         72 |         72 |         75 |         72 |         72 |         72
    num misses                       |         72 |         72 |         72 |         72 |         75 |         72 |         72 |         72
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1085538 |    1084826 |    1086187 |    1084998 |    1086228 |    1084528 |    1084298 |    1084006
    num cache misses                 |     359981 |     357919 |     354892 |     353110 |     351693 |     351415 |     350833 |     350333
    miss rate                        |     33.16% |     32.99% |     32.67% |     32.54% |     32.38% |     32.40% |     32.36% |     32.32%
    mpki                             |      36.41 |      36.23 |      35.87 |      35.73 |      35.55 |      35.58 |      35.53 |      35.48
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    4561811 |    4558819 |    4564526 |    4559545 |    4564613 |    4557566 |    4556596 |    4555366
    num cache misses                 |     420724 |     435271 |     426597 |     432366 |     403723 |     436127 |     430654 |     419584
    miss rate                        |      9.22% |      9.55% |      9.35% |      9.48% |      8.84% |      9.57% |      9.45% |      9.21%
    mpki                             |      42.55 |      44.05 |      43.12 |      43.75 |      40.81 |      44.15 |      43.61 |      42.50
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |     780719 |     793204 |     781503 |     785490 |     755433 |     787556 |     781502 |     769931
    num cache misses                 |      43131 |      43518 |      44175 |      44643 |      44819 |      44964 |      45143 |      45397
    miss rate                        |      5.52% |      5.49% |      5.65% |      5.68% |      5.93% |      5.71% |      5.78% |      5.90%
    mpki                             |       4.36 |       4.40 |       4.47 |       4.52 |       4.53 |       4.55 |       4.57 |       4.60
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      43148 |      43535 |      44192 |      44660 |      44839 |      44981 |      45160 |      45414
    num cache misses                 |       1476 |       1476 |       1492 |       1476 |       1525 |       1476 |       1476 |       1476
    miss rate                        |      3.42% |      3.39% |      3.38% |      3.30% |      3.40% |      3.28% |      3.27% |      3.25%
    mpki                             |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      11873 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      81.14 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      27.71 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |        175 |        184 |        181 |        178 |        189 |        178 |        177 |        179
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
